local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,全球宽带互联网接入服务,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应提供全球宽带互联网接入，兼顾IoT回传与轻量专线服务。,REQ-001,candidate
REQ-002,用户下行速率,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单用户下行峰值速率应不低于100 Mbps。,REQ-001,candidate
REQ-003,回传速率,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,回传链路速率应不低于500 Mbps（专线或高价值用户）。,REQ-001,candidate
REQ-004,端到端时延,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户终端至地面互联网出口的端到端时延应≤30 ms。,REQ-004,candidate
REQ-005,系统可用度,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统全年可用度应不低于99.5%。,REQ-005,candidate
REQ-006,覆盖范围,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统覆盖区域为南北纬60°以内，重点服务中低纬度人口密集区。,REQ-001,candidate
REQ-007,无感移动性切换,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,终端跨波束和跨星切换时保持IP地址不变，实现无感切换。,REQ-001,candidate
REQ-008,星间链路自愈,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星间链路中断时应自动重路由，保证业务连续性。,REQ-008,candidate
REQ-009,信关站冗余切换,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单个信关站失效时，业务应无缝切换到邻近信关站。,REQ-009,candidate
REQ-010,单星容量需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星容量需支持目标市场并发用户数（具体数值待确认，暂定百万级并发设计）。,REQ-001,candidate
BLK-001,卫星,Block,02_Structure,Class,SysML::Blocks::Block,低轨卫星平台，包含再生式通信载荷、4条激光星间链路、多波束相控阵用户天线、2路Ka馈电链路、电推进模块等，质量约500kg，功率≥2kW。,,candidate
BLK-002,信关站,Block,02_Structure,Class,SysML::Blocks::Block,地面信关站，通过Ka频段与卫星通信，具备同时连接4~6颗卫星能力，以光纤接入互联网骨干。,,candidate
BLK-003,用户终端,Block,02_Structure,Class,SysML::Blocks::Block,电控相控阵平板天线用户终端，等效口径约30cm，功耗<50W，支持自动寻星和波束跟踪。,,candidate
BLK-004,网络运营中心,Block,02_Structure,Class,SysML::Blocks::Block,集中式网络运营中心（NOC），负责资源编排、SDN路径管理、遥测遥控和用户策略控制。,,candidate
BLK-005,星座系统,Block,02_Structure,Class,SysML::Blocks::Block,由100颗卫星构成的Walker低轨星座，含10个轨道面，每面10颗工作星及1颗备份星。,,candidate
UC-001,提供宽带互联网接入,UseCase,03_Behavior,UseCase,,终端用户通过卫星系统获得全球宽带互联网接入服务，包含IoT回传和轻量专线场景。,REQ-001,candidate
