local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-001,星座规模要求,BLK-001,LEO卫星互联网系统,星座规模要求由顶层系统Block满足。
REL-002,REL-002,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-002,轨道配置要求,BLK-002,卫星,轨道配置要求分配给卫星Block，影响其轨道与星座设计参数。
REL-003,REL-003,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-003,星间链路要求,BLK-005,激光星间链路终端,星间链路要求分配给激光星间链路终端Block。
REL-004,REL-004,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-004,地面关口站规模要求,BLK-006,地面关口站,关口站规模要求分配给地面关口站Block。
REL-005,REL-005,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-005,单星下行容量要求,BLK-003,通信载荷,单星下行容量由通信载荷Block满足。
REL-006,REL-006,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-006,单星上行容量要求,BLK-003,通信载荷,单星上行容量由通信载荷Block满足。
REL-007,REL-007,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-007,星座总容量要求,BLK-001,LEO卫星互联网系统,星座总容量由整个系统Block汇聚满足。
REL-008,REL-008,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-008,端到端时延要求,CON-003,端到端时延预算约束,端到端时延要求由时延预算约束Block进一步细化。
REL-009,REL-009,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-009,系统可用度要求,CON-001,轨道高度与可用度约束,可用度要求由轨道高度与链路余量约束细化。
REL-010,REL-010,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-010,用户链路频段要求,IF-001,用户链路接口 (Uu/Air Interface),用户链路频段要求追踪至用户链路接口定义。
REL-011,REL-011,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-011,馈电链路频段要求,IF-002,馈电链路接口 (Feeder Link),馈电链路频段要求追踪至馈电链路接口定义。
REL-012,REL-012,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-012,通信体制兼容性要求,IF-001,用户链路接口 (Uu/Air Interface),通信体制兼容性要求追踪至用户链路接口和N6接口。
REL-013,REL-013,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-012,通信体制兼容性要求,IF-004,N6核心网接口,兼容性要求同样体现在N6核心网接口上。
