local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,06_Traceability,Association,CompositeAssociation,BLK-001,卫星互联网系统,BLK-002,空间段,卫星互联网系统包含空间段
REL-002,REL-002,contains,06_Traceability,Association,CompositeAssociation,BLK-001,卫星互联网系统,BLK-005,地面段,卫星互联网系统包含地面段
REL-003,REL-003,contains,06_Traceability,Association,CompositeAssociation,BLK-001,卫星互联网系统,BLK-006,用户段,卫星互联网系统包含用户段
REL-004,REL-004,contains,06_Traceability,Association,CompositeAssociation,BLK-002,空间段,BLK-003,LEO卫星,空间段由LEO卫星组成
REL-005,REL-005,contains,06_Traceability,Association,CompositeAssociation,BLK-003,LEO卫星,BLK-004,通信载荷,LEO卫星包含通信载荷
REL-006,REL-006,contains,06_Traceability,Association,CompositeAssociation,BLK-005,地面段,BLK-007,信关站,地面段包含信关站
REL-007,REL-007,contains,06_Traceability,Association,CompositeAssociation,BLK-006,用户段,BLK-008,用户终端,用户段包含用户终端
REL-008,REL-008,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-002,空间段,REQ-001,全球覆盖需求,空间段通过星座部署满足全球覆盖需求
REL-009,REL-009,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-004,通信载荷,REQ-002,通信容量需求,通信载荷提供满足容量需求的通道
REL-010,REL-010,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-004,通信载荷,REQ-003,端到端时延需求,低轨通信载荷保证低时延传输
REL-011,REL-011,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,ACT-002,波束切换与移动性管理流程,REQ-004,链路可用性需求,波束切换与移动性管理保障链路可用性
REL-012,REL-012,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,CON-001,轨道高度范围约束,BLK-002,空间段,轨道高度约束分配给空间段
REL-013,REL-013,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,提供宽带互联网接入,REQ-001,全球覆盖需求,宽带接入用例支持全球覆盖场景
REL-014,REL-014,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,提供宽带互联网接入,REQ-002,通信容量需求,用例实现容量需求
REL-015,REL-015,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-004,初始试验验证,UC-001,提供宽带互联网接入,试验验证用例用于评估宽带接入用例的可行性
REL-016,REL-016,dependency,06_Traceability,Dependency,Dependency,IF-001,馈电链路接口,BLK-004,通信载荷,馈电链路接口由通信载荷实现
REL-017,REL-017,dependency,06_Traceability,Dependency,Dependency,IF-002,用户链路接口,BLK-004,通信载荷,用户链路接口由通信载荷实现
REL-018,REL-018,verify,06_Traceability,Dependency,SysML::Requirements::Verify,ACT-001,初始接入与认证流程,UC-001,提供宽带互联网接入,初始接入活动验证宽带接入用例的可执行性
REL-019,REL-019,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,卫星互联网系统,REQ-004,链路可用性需求,预评审自动补充：模块满足需求
REL-020,REL-020,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,卫星互联网系统,REQ-005,星座规模约束,预评审自动补充：模块满足需求
REL-021,REL-021,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,卫星互联网系统,REQ-006,卫星寿命约束,预评审自动补充：模块满足需求
REL-022,REL-022,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-003,星间链路接口,BLK-001,卫星互联网系统,预评审自动补充：接口分配到模块
REL-023,REL-023,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-001,轨道高度范围约束,REQ-001,全球覆盖需求,预评审自动补充：约束验证需求
REL-024,REL-024,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-002,频率使用约束,REQ-001,全球覆盖需求,预评审自动补充：约束验证需求
REL-025,REL-025,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-003,卫星制造与发射约束,REQ-001,全球覆盖需求,预评审自动补充：约束验证需求
