local_id,name,type,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,Association,CompositeAssociation,BLK-001,低轨宽带卫星互联网系统,BLK-002,空间段,系统包含空间段
REL-002,REL-002,contains,Association,CompositeAssociation,BLK-001,低轨宽带卫星互联网系统,BLK-006,地面段,系统包含地面段
REL-003,REL-003,contains,Association,CompositeAssociation,BLK-001,低轨宽带卫星互联网系统,BLK-008,用户终端,系统包含用户段
REL-004,REL-004,contains,Association,CompositeAssociation,BLK-002,空间段,BLK-003,低轨通信卫星,空间段包含低轨通信卫星
REL-005,REL-005,contains,Association,CompositeAssociation,BLK-003,低轨通信卫星,BLK-004,宽带通信载荷,卫星包含宽带通信载荷
REL-006,REL-006,contains,Association,CompositeAssociation,BLK-003,低轨通信卫星,BLK-005,星间链路终端,卫星包含星间链路终端
REL-007,REL-007,contains,Association,CompositeAssociation,BLK-006,地面段,BLK-007,馈电网关站,地面段包含馈电网关站
REL-008,REL-008,contains,Association,CompositeAssociation,BLK-006,地面段,BLK-009,网络管理中心,地面段包含网络管理中心
REL-009,REL-009,contains,Association,CompositeAssociation,BLK-006,地面段,BLK-010,任务运控中心,地面段包含任务运控中心
REL-010,REL-010,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨宽带卫星互联网系统,REQ-001,星座总体任务目标,系统满足总体任务目标
REL-011,REL-011,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-002,空间段,REQ-002,轨道覆盖与服务连续性,空间段满足覆盖连续性需求
REL-012,REL-012,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-004,宽带通信载荷,REQ-003,载荷容量与链路质量,载荷满足容量与链路质量需求
REL-013,REL-013,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-005,星间链路终端,REQ-004,星间链路与路由,星间链路终端满足星间组网需求
REL-014,REL-014,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-007,馈电网关站,REQ-005,馈电链路与地面站接入,馈电网关站满足馈电接入需求
REL-015,REL-015,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-008,用户终端,REQ-006,用户终端接入,用户终端满足用户接入需求
REL-016,REL-016,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-009,网络管理中心,REQ-007,网络管理与资源调度,网络管理中心满足资源调度需求
REL-017,REL-017,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-010,任务运控中心,REQ-008,遥测遥控与运行维护,任务运控中心满足遥测遥控需求
REL-018,REL-018,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-010,任务运控中心,REQ-009,故障告警与安全隔离,任务运控中心满足故障告警需求
REL-019,REL-019,satisfy,Dependency,SysML::Requirements::Satisfy,IF-006,MagicDraw Bridge接口,REQ-010,模型一致性与可追溯,Bridge接口满足模型一致性与可追溯需求
REL-020,REL-020,trace,Dependency,SysML::Requirements::Trace,REQ-001,星座总体任务目标,UC-001,生成星座总体方案,总体任务追溯到方案生成用例
REL-021,REL-021,trace,Dependency,SysML::Requirements::Trace,REQ-002,轨道覆盖与服务连续性,UC-002,执行覆盖与链路分析,覆盖需求追溯到覆盖与链路分析用例
REL-022,REL-022,trace,Dependency,SysML::Requirements::Trace,REQ-003,载荷容量与链路质量,UC-002,执行覆盖与链路分析,链路质量需求追溯到覆盖与链路分析用例
REL-023,REL-023,trace,Dependency,SysML::Requirements::Trace,REQ-006,用户终端接入,UC-003,完成用户业务接入,用户接入需求追溯到用户业务接入用例
REL-024,REL-024,trace,Dependency,SysML::Requirements::Trace,REQ-007,网络管理与资源调度,UC-004,调度网络资源,资源调度需求追溯到调度用例
REL-025,REL-025,trace,Dependency,SysML::Requirements::Trace,REQ-009,故障告警与安全隔离,UC-005,处理故障告警,故障需求追溯到告警处理用例
