local_id,name,type,metaclass,stereotype,documentation,source_requirement,status
BLK-001,宽带通信系统,Block,Class,SysML::Blocks::Block,负责宽带业务接入、链路管理、业务调度和状态监测的系统级模块。,REQ-001,committed
REQ-001,系统核心能力支持,Requirement,Class,SysML::Requirements::Requirement,宽带通信系统应支持用户终端接入、链路资源管理、业务调度、网络状态监测和故障告警能力。,REQ-001,committed
UC-001,系统核心支持,UseCase,UseCase,,围绕“系统核心能力支持”展开的用户或系统行为场景。,REQ-001,committed
IF-001,系统核心支持接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“系统核心能力支持”的数据、控制或状态交互接口。,REQ-001,committed
ACT-001,系统核心支持流程,Activity,Activity,,描述“系统核心能力支持”从触发、处理到反馈的核心流程。,REQ-001,committed
REQ-002,用户接入状态实时监测与告警,Requirement,Class,SysML::Requirements::Requirement,系统应支持对用户接入状态进行实时监测，并在链路质量下降时进行告警。,REQ-002,committed
UC-002,用户接入状态实时监测与告警,UseCase,UseCase,,围绕“用户接入状态实时监测与告警”展开的用户或系统行为场景。,REQ-002,committed
IF-002,用户接入状态实时监测与告警接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“用户接入状态实时监测与告警”的数据、控制或状态交互接口。,REQ-002,committed
ACT-002,用户接入状态实时监测与告警流程,Activity,Activity,,描述“用户接入状态实时监测与告警”从触发、处理到反馈的核心流程。,REQ-002,committed
REQ-003,基于业务优先级的资源调度与质量保障,Requirement,Class,SysML::Requirements::Requirement,系统应支持根据业务优先级进行资源调度，并保障关键业务的传输质量。,REQ-003,committed
UC-003,基于业务优先级的资源调度与质量保障,UseCase,UseCase,,围绕“基于业务优先级的资源调度与质量保障”展开的用户或系统行为场景。,REQ-003,committed
IF-003,基于业务优先级的资源调度与质量保障接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“基于业务优先级的资源调度与质量保障”的数据、控制或状态交互接口。,REQ-003,committed
ACT-003,基于业务优先级的资源调度与质量保障流程,Activity,Activity,,描述“基于业务优先级的资源调度与质量保障”从触发、处理到反馈的核心流程。,REQ-003,committed
REQ-004,外部网络管理系统数据接口,Requirement,Class,SysML::Requirements::Requirement,系统应提供与外部网络管理系统的数据接口，用于状态同步和运维管理。,REQ-004,committed
UC-004,外部网络管理系统数据接口,UseCase,UseCase,,围绕“外部网络管理系统数据接口”展开的用户或系统行为场景。,REQ-004,committed
IF-004,外部网络管理系统数据接口接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“外部网络管理系统数据接口”的数据、控制或状态交互接口。,REQ-004,committed
ACT-004,外部网络管理系统数据接口流程,Activity,Activity,,描述“外部网络管理系统数据接口”从触发、处理到反馈的核心流程。,REQ-004,committed
REQ-005,核心业务流程建模与变更影响分析,Requirement,Class,SysML::Requirements::Requirement,系统应支持对核心业务流程进行建模、追溯和变更影响分析。,REQ-005,committed
UC-005,核心业务流程建模与变更影响分析,UseCase,UseCase,,围绕“核心业务流程建模与变更影响分析”展开的用户或系统行为场景。,REQ-005,committed
IF-005,核心业务流程建模与变更影响分析接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,支撑“核心业务流程建模与变更影响分析”的数据、控制或状态交互接口。,REQ-005,committed
ACT-005,核心业务流程建模与变更影响分析流程,Activity,Activity,,描述“核心业务流程建模与变更影响分析”从触发、处理到反馈的核心流程。,REQ-005,committed
