local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,06_Traceability,Association,CompositeAssociation,BLK-001,SmartCrossDomainSystemModel,BLK-002,01_Requirements,顶层模型包含需求包
REL-002,REL-002,contains,06_Traceability,Association,CompositeAssociation,BLK-001,SmartCrossDomainSystemModel,BLK-003,02_Blocks,顶层模型包含系统组成块包
REL-003,REL-003,contains,06_Traceability,Association,CompositeAssociation,BLK-001,SmartCrossDomainSystemModel,BLK-004,03_UseCases,顶层模型包含用例包
REL-004,REL-004,contains,06_Traceability,Association,CompositeAssociation,BLK-001,SmartCrossDomainSystemModel,BLK-005,04_Interfaces,顶层模型包含接口包
REL-005,REL-005,contains,06_Traceability,Association,CompositeAssociation,BLK-001,SmartCrossDomainSystemModel,BLK-006,05_Activities,顶层模型包含活动包
REL-006,REL-006,contains,06_Traceability,Association,CompositeAssociation,BLK-001,SmartCrossDomainSystemModel,BLK-007,06_Constraints,顶层模型包含约束包
REL-007,REL-007,contains,06_Traceability,Association,CompositeAssociation,BLK-002,01_Requirements,REQ-001,CrossDomainMissionCoordination,需求包包含跨域协同需求
REL-008,REL-008,contains,06_Traceability,Association,CompositeAssociation,BLK-002,01_Requirements,REQ-002,CommunicationLatency,需求包包含通信延迟需求
REL-009,REL-009,contains,06_Traceability,Association,CompositeAssociation,BLK-002,01_Requirements,REQ-003,SecureAuthentication,需求包包含安全认证需求
REL-010,REL-010,contains,06_Traceability,Association,CompositeAssociation,BLK-002,01_Requirements,REQ-004,RealTimeSituationalAwareness,需求包包含实时态势共享需求
REL-011,REL-011,contains,06_Traceability,Association,CompositeAssociation,BLK-003,02_Blocks,BLK-001-2,CrossDomainIntelligentEquipmentSystem,块包包含系统整体块
REL-012,REL-012,contains,06_Traceability,Association,CompositeAssociation,BLK-003,02_Blocks,BLK-002-2,CommandControlCenter,块包包含指挥控制中心
REL-013,REL-013,contains,06_Traceability,Association,CompositeAssociation,BLK-003,02_Blocks,BLK-003-2,AerialUnmannedPlatform,块包包含空中无人平台
REL-014,REL-014,contains,06_Traceability,Association,CompositeAssociation,BLK-003,02_Blocks,BLK-004-2,GroundUnmannedPlatform,块包包含地面无人平台
REL-015,REL-015,contains,06_Traceability,Association,CompositeAssociation,BLK-003,02_Blocks,BLK-005-2,MarineUnmannedPlatform,块包包含海上无人平台
REL-016,REL-016,contains,06_Traceability,Association,CompositeAssociation,BLK-003,02_Blocks,BLK-006-2,CommunicationNetwork,块包包含通信网络
REL-017,REL-017,contains,06_Traceability,Association,CompositeAssociation,BLK-004,03_UseCases,UC-001,PerformCrossDomainMission,用例包包含执行跨域任务
REL-018,REL-018,contains,06_Traceability,Association,CompositeAssociation,BLK-004,03_UseCases,UC-002,ShareSituationalAwareness,用例包包含态势感知与共享
REL-019,REL-019,contains,06_Traceability,Association,CompositeAssociation,BLK-004,03_UseCases,UC-003,CollaborativeDecisionMaking,用例包包含协同决策
REL-020,REL-020,contains,06_Traceability,Association,CompositeAssociation,BLK-004,03_UseCases,UC-004,MonitorExecution,用例包包含任务执行监控
REL-021,REL-021,contains,06_Traceability,Association,CompositeAssociation,BLK-005,04_Interfaces,IF-001,C2Interface,接口包包含指挥控制接口
REL-022,REL-022,contains,06_Traceability,Association,CompositeAssociation,BLK-005,04_Interfaces,IF-002,InterDomainDataLink,接口包包含域间数据链
REL-023,REL-023,contains,06_Traceability,Association,CompositeAssociation,BLK-005,04_Interfaces,IF-003,SensorDataStream,接口包包含传感器数据流
REL-024,REL-024,contains,06_Traceability,Association,CompositeAssociation,BLK-006,05_Activities,ACT-001,CrossDomainMissionProcess,活动包包含跨域任务流程
REL-025,REL-025,contains,06_Traceability,Association,CompositeAssociation,BLK-007,06_Constraints,CON-001,LatencyConstraintBlock,约束包包含延迟约束块
REL-026,REL-026,contains,06_Traceability,Association,CompositeAssociation,BLK-007,06_Constraints,CON-002,BandwidthConstraintBlock,约束包包含带宽约束块
REL-027,REL-027,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,CrossDomainMissionCoordination,UC-001,PerformCrossDomainMission,跨域协同需求由执行跨域任务用例追踪实现
REL-028,REL-028,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-004,RealTimeSituationalAwareness,UC-002,ShareSituationalAwareness,实时态势需求由态势共享用例追踪
REL-029,REL-029,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,CrossDomainMissionCoordination,UC-003,CollaborativeDecisionMaking,协同需求同样映射到协同决策用例
REL-030,REL-030,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-002-2,CommandControlCenter,REQ-001,CrossDomainMissionCoordination,指挥控制中心满足跨域协同需求
REL-031,REL-031,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-006-2,CommunicationNetwork,REQ-002,CommunicationLatency,通信网络满足低延迟需求
REL-032,REL-032,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,CON-001,LatencyConstraintBlock,REQ-002,CommunicationLatency,延迟约束块由通信延迟需求派生
REL-033,REL-033,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,CON-002,BandwidthConstraintBlock,REQ-004,RealTimeSituationalAwareness,带宽约束块由实时态势需求派生，保障数据吞吐
REL-034,REL-034,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-001,CrossDomainMissionProcess,UC-001,PerformCrossDomainMission,跨域任务流程精细化了执行跨域任务用例的行为
REL-035,REL-035,dependency,06_Traceability,Dependency,Dependency,BLK-002-2,CommandControlCenter,IF-001,C2Interface,指挥控制中心使用指挥控制接口对外交互
REL-036,REL-036,dependency,06_Traceability,Dependency,Dependency,BLK-003-2,AerialUnmannedPlatform,IF-001,C2Interface,空中平台通过指挥控制接口接收指令
REL-037,REL-037,dependency,06_Traceability,Dependency,Dependency,BLK-004-2,GroundUnmannedPlatform,IF-001,C2Interface,地面平台通过指挥控制接口接收指令
REL-038,REL-038,dependency,06_Traceability,Dependency,Dependency,BLK-005-2,MarineUnmannedPlatform,IF-001,C2Interface,海上平台通过指挥控制接口接收指令
REL-039,REL-039,dependency,06_Traceability,Dependency,Dependency,BLK-003-2,AerialUnmannedPlatform,IF-002,InterDomainDataLink,空中平台使用域间数据链共享态势
REL-040,REL-040,dependency,06_Traceability,Dependency,Dependency,BLK-004-2,GroundUnmannedPlatform,IF-002,InterDomainDataLink,地面平台使用域间数据链共享态势
REL-041,REL-041,dependency,06_Traceability,Dependency,Dependency,BLK-005-2,MarineUnmannedPlatform,IF-002,InterDomainDataLink,海上平台使用域间数据链共享态势
