local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,任务目标与场景定义,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应明确服务对象（全球互联网接入、海洋/航空宽带、物联网回传、应急通信等）并定义单用户带宽、端到端时延、覆盖可用度、并发用户数等用户体验指标。,REQ-001,reviewed
REQ-002,星座构型与轨道要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需给出轨道设计，包括Walker构型的轨道面数、每面卫星数、轨道高度和倾角；同时明确轨道控制能力、碰撞规避设计及离轨策略。,REQ-002,reviewed
REQ-003,系统边界与外部接口要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需识别地面段组成（信关站网络、测控站、网络运营中心、用户管理系统等），并定义与地面光纤网、第三方卫星系统、移动运营商核心网等的外部接口。,REQ-003,reviewed
REQ-004,功能链与星上能力要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需明确通信载荷类型（透明转发或再生处理）、是否支持星间链路、路由交换能力，以及是否承载其它载荷（如对地观测、导航增强），同时定义用户链路采用多波束、波束跳变或相控阵天线的方式。,REQ-004,reviewed
REQ-005,行为流程与运行模式要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需描述运行阶段（入轨、在轨测试、正常服务、降级、离轨）及关键流程，如用户附着、切换、星地/星间路由、网络恢复。,REQ-005,reviewed
REQ-006,约束与验收要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需定义寿命和可靠性指标（如单星MTBF）、可用频段（频率资源约束）、交付验收标准（仿真覆盖率或实测原型星/全星座验证）。,REQ-006,reviewed
REQ-007,假设与不确定性说明,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需说明当前阶段（可行性论证或详细设计）并给出参考基线方案或对标系统（如Starlink、OneWeb），以界定期望粒度。,REQ-007,reviewed
BLK-001,低轨卫星互联网星座,Block,02_Structure,Class,SysML::Blocks::Block,由100颗卫星组成的低轨星座系统，为全球提供互联网接入，包含空间段、地面段和用户终端的完整系统。,,reviewed
BLK-002,卫星平台,Block,02_Structure,Class,SysML::Blocks::Block,单个卫星平台，承载通信载荷、星间链路终端、电源、推进、姿控等子系统。,,reviewed
BLK-003,地面段,Block,02_Structure,Class,SysML::Blocks::Block,包含信关站网络、测控站、网络运营中心、用户管理系统等，负责馈电链路、卫星控制、网络运营和用户管理。,,reviewed
BLK-004,用户终端,Block,02_Structure,Class,SysML::Blocks::Block,面向用户的接入设备，可能为专用终端或兼容3GPP NTN/5G修改的终端。,,reviewed
BLK-005,外部系统,Block,02_Structure,Class,SysML::Blocks::Block,与星座互联的外部实体，如地面光纤网、第三方卫星系统、移动运营商核心网。,,reviewed
UC-001,提供互联网接入服务,UseCase,03_Behavior,UseCase,,为全球用户提供互联网接入，涵盖海洋、航空宽带、物联网回传、应急通信等场景。,,reviewed
UC-002,用户附着与切换,UseCase,03_Behavior,UseCase,,用户终端附着到卫星网络，并在卫星间/波束间执行无缝切换。,,reviewed
UC-003,星地/星间路由,UseCase,03_Behavior,UseCase,,在星上或地面完成数据包路由，包括透明转发或再生处理模式下的星间链路转发。,,reviewed
UC-004,网络恢复与降级服务,UseCase,03_Behavior,UseCase,,在部分节点故障或降级模式下维持基本通信服务并完成网络自愈。,,reviewed
IF-001,星地馈电链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与信关站之间的Ka/V等频段馈电链路，承载用户数据和测控指令。,,reviewed
IF-002,星间链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星之间的激光或射频星间链路，用于数据中继和路由。,,reviewed
IF-003,用户链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与用户终端之间的业务链路，采用多波束相控阵天线，频率可能为Ku/Ka或S频段。,,reviewed
IF-004,地面段-核心网接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,信关站与地面核心网（如5G核心网）之间的回程接口，支持与运营商网络互联。,,reviewed
ACT-001,用户附着流程,Activity,03_Behavior,Activity,,用户终端开机后搜索信令波束，完成初始接入、认证、IP地址分配并建立默认承载。,,reviewed
ACT-002,星间切换流程,Activity,03_Behavior,Activity,,基于测量报告触发卫星间或波束间切换，包含目标波束资源预留、路径切换和源星释放。,,reviewed
ACT-003,端到端数据传输流程,Activity,03_Behavior,Activity,,用户数据从终端经卫星、星间链路、信关站到达地面核心网的双向传输过程，包括分段路由和QoS保障。,,reviewed
CON-001,Walker星座构型约束,ConstraintBlock,05_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,轨道面数、每面卫星数、轨道高度、倾角的取值需满足全球覆盖需求和频率协调约束，并基于ΔV预算限制。,,reviewed
CON-002,端到端时延约束,ConstraintBlock,05_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,用户面单向时延应满足特定场景（如宽带接入≤50ms），基于传播路径和路由跳数计算验证。,,reviewed
CON-003,单星可用度约束,ConstraintBlock,05_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,单星设计寿命期间MTBF或可用度需满足系统总体可用度指标，影响冗余设计和备星策略。,,reviewed
CON-004,频率资源约束,ConstraintBlock,05_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,系统使用频段需符合ITU规则及国家频谱授权，限制可用带宽和干扰规避方案。,,reviewed
