local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,100颗低轨卫星星座,UC-001,执行全球通信任务,顶级需求追踪到通信任务用例
REL-002,REL-002,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,100颗低轨卫星星座,REQ-002,星座构型需求,从星座总体需求衍生出构型需求
REL-003,REL-003,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,100颗低轨卫星星座,REQ-003,单星能力需求,衍生单星能力需求
REL-004,REL-004,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,100颗低轨卫星星座,REQ-004,星间链路需求,衍生星间链路需求
REL-005,REL-005,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,100颗低轨卫星星座,REQ-005,地面段需求,衍生的地面段需求
REL-006,REL-006,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星星座系统,BLK-002,空间段,星座系统包含空间段
REL-007,REL-007,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星星座系统,BLK-004,地面段,星座系统包含地面段
REL-008,REL-008,contains,06_Traceability,Association,CompositeAssociation,BLK-002,空间段,BLK-003,单颗卫星,空间段包含单颗卫星
REL-009,REL-009,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-002,星座构型需求,BLK-002,空间段,空间段满足构型需求
REL-010,REL-010,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-003,单星能力需求,BLK-003,单颗卫星,单颗卫星满足单星能力需求
REL-011,REL-011,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-004,星间链路需求,IF-001,星间激光链路接口,星间接口满足星间链路需求
REL-012,REL-012,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-005,地面段需求,BLK-004,地面段,地面段满足地面需求
REL-013,REL-013,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-005,地面段需求,IF-002,星地馈电链路接口,星地接口满足地面段需求
REL-014,REL-014,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-002,星座构型需求,ACT-001,星座部署流程,部署流程实现构型需求
REL-015,REL-015,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-001,100颗低轨卫星星座,CON-001,成本约束,成本约束细化整体可行性
REL-016,REL-016,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-002,星座构型需求,CON-002,轨道高度约束,轨道高度约束细化构型需求
REL-017,REL-017,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-001,100颗低轨卫星星座,CON-003,覆盖约束,覆盖约束细化总体需求
