local_id,name,type,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座总体任务目标,Requirement,Class,SysML::Requirements::Requirement,形成满足覆盖、容量、时延和可靠性约束的低轨宽带卫星互联网总体方案。,REQ-001,candidate
REQ-002,轨道覆盖与服务连续性,Requirement,Class,SysML::Requirements::Requirement,星座应支持目标区域连续覆盖、可见性计算、切换策略和覆盖盲区识别。,REQ-002,candidate
REQ-003,载荷容量与链路质量,Requirement,Class,SysML::Requirements::Requirement,系统应满足用户接入容量、链路预算、波束调度和服务质量保障要求。,REQ-003,candidate
REQ-004,星间链路与路由,Requirement,Class,SysML::Requirements::Requirement,卫星应支持星间链路组网、路由更新、链路状态监测和故障重构。,REQ-004,candidate
REQ-005,馈电链路与地面站接入,Requirement,Class,SysML::Requirements::Requirement,地面段应提供馈电站接入、回传链路、站间协同和网关资源管理。,REQ-005,candidate
REQ-006,用户终端接入,Requirement,Class,SysML::Requirements::Requirement,用户段应支持终端注册、认证、接入状态监测和业务会话保持。,REQ-006,candidate
REQ-007,网络管理与资源调度,Requirement,Class,SysML::Requirements::Requirement,系统应根据业务优先级、链路状态和资源余量进行动态调度。,REQ-007,candidate
REQ-008,遥测遥控与运行维护,Requirement,Class,SysML::Requirements::Requirement,运控系统应支持遥测采集、遥控指令、状态评估和运维闭环。,REQ-008,candidate
REQ-009,故障告警与安全隔离,Requirement,Class,SysML::Requirements::Requirement,系统应识别链路、载荷、地面站和网络异常，并支持告警分级与隔离策略。,REQ-009,candidate
REQ-010,模型一致性与可追溯,Requirement,Class,SysML::Requirements::Requirement,SysML工程应保证需求、结构、行为、接口和约束之间可追溯，并能同步到MagicDraw。,REQ-010,candidate
BLK-001,低轨宽带卫星互联网系统,Block,Class,SysML::Blocks::Block,系统级根模块，来自对话输入：我是卫星总体设计师，请围绕一个100颗低轨宽带卫星互联网系统，引导我完成总体需求、系统边界、功能链路、接口、行为流程和约束条件，并生成可推送到MagicDraw的完整SysML工程。 已根据对话上下文生成低轨宽带卫星互联网SysML工程：4,,candidate
BLK-002,空间段,Block,Class,SysML::Blocks::Block,由低轨卫星、载荷、星间链路终端和星上处理资源组成。,,candidate
BLK-003,低轨通信卫星,Block,Class,SysML::Blocks::Block,承担载荷承载、星上处理、星间互联和遥测遥控功能。,,candidate
