local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,全球宽带互联网接入服务,UC-001,提供宽带互联网接入,顶级服务需求由宽带接入用例实现
REL-002,REL-002,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-002,用户下行速率,BLK-001,卫星,卫星载荷和多波束天线满足下行速率需求
REL-003,REL-003,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-003,回传速率,BLK-001,卫星,卫星回传链路设计满足500Mbps回传需求
REL-004,REL-004,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-004,端到端时延,CON-001,端到端时延约束,时延指标细化为约束块
REL-005,REL-005,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-005,系统可用度,CON-002,系统可用度约束,可用度指标细化为约束块
REL-006,REL-006,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-006,覆盖范围,CON-003,覆盖区域约束,覆盖区域细化为约束块
REL-007,REL-007,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-007,无感移动性切换,UC-002,管理用户移动性,移动性切换需求由移动性管理用例满足
REL-008,REL-008,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-008,星间链路自愈,UC-003,故障处理与网络自愈,星间链路自愈由故障处理用例满足
REL-009,REL-009,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-009,信关站冗余切换,BLK-002,信关站,信关站冗余设计满足失效切换需求
REL-010,REL-010,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-010,单星容量需求,BLK-005,星座系统,单星容量需求分配至星座系统块，由其内部卫星实现
REL-011,REL-011,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-001,星间激光链路接口,BLK-001,卫星,星间激光接口分配至卫星块
REL-012,REL-012,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-002,用户链路接口,BLK-001,卫星,用户链路接口分配至卫星
REL-013,REL-013,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-003,馈电链路接口,BLK-001,卫星,馈电链路接口分配至卫星
REL-014,REL-014,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-002,用户链路接口,BLK-003,用户终端,用户链路接口也分配至用户终端
REL-015,REL-015,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-004,信关站地面网络接口,BLK-002,信关站,地面网络接口分配至信关站
REL-016,REL-016,refine,06_Traceability,Dependency,SysML::Requirements::Refine,UC-001,提供宽带互联网接入,ACT-001,用户接入与数据传输,宽带接入用例细化为接入与数据传输活动
REL-017,REL-017,refine,06_Traceability,Dependency,SysML::Requirements::Refine,UC-002,管理用户移动性,ACT-002,卫星切换流程,移动性管理用例细化为切换流程活动
REL-018,REL-018,refine,06_Traceability,Dependency,SysML::Requirements::Refine,UC-003,故障处理与网络自愈,ACT-003,星间链路重路由,故障处理用例细化为重路由活动
REL-019,REL-019,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,CON-004,单星资源约束,BLK-001,卫星,单星质量与功率约束直接分配至卫星块
REL-020,REL-020,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,CON-005,用户终端功耗约束,BLK-003,用户终端,终端功耗约束分配至用户终端块
REL-021,REL-021,contains,06_Traceability,Association,CompositeAssociation,BLK-005,星座系统,BLK-001,卫星,星座系统包含多颗卫星
REL-022,REL-022,contains,06_Traceability,Association,CompositeAssociation,BLK-001,卫星,IF-001,星间激光链路接口,卫星包含星间激光接口
REL-023,REL-023,contains,06_Traceability,Association,CompositeAssociation,BLK-001,卫星,IF-002,用户链路接口,卫星包含用户链路接口
REL-024,REL-024,contains,06_Traceability,Association,CompositeAssociation,BLK-001,卫星,IF-003,馈电链路接口,卫星包含馈电链路接口
DREL-UC-001,DREL-UC-001,association,06_Traceability,Dependency,Dependency,ACTOR-001,终端用户,UC-001,提供宽带互联网接入,终端用户使用系统获得宽带互联网接入
DREL-UC-002,DREL-UC-002,include,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,UC-002,管理用户移动性,宽带接入依赖移动性管理以保证无缝切换
DREL-UC-003,DREL-UC-003,include,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,UC-003,故障处理与网络自愈,宽带接入需要故障自愈能力维持服务连续性
DREL-UC-004,DREL-UC-004,association,06_Traceability,Dependency,Dependency,ACTOR-002,运营操作员,UC-004,卫星在轨管理,运营操作员执行卫星在轨管理任务
DTRACE-UC-001-IBD-BLK-001,DTRACE-UC-001-IBD-BLK-001,realize,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,IBD-BLK-001,卫星,宽带接入由卫星、信关站、用户终端和网络运营中心协同实现
DTRACE-UC-001-IBD-BLK-002,DTRACE-UC-001-IBD-BLK-002,realize,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,IBD-BLK-002,信关站,宽带接入由卫星、信关站、用户终端和网络运营中心协同实现
DTRACE-UC-001-IBD-BLK-003,DTRACE-UC-001-IBD-BLK-003,realize,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,IBD-BLK-003,用户终端,宽带接入由卫星、信关站、用户终端和网络运营中心协同实现
DTRACE-UC-001-IBD-BLK-004,DTRACE-UC-001-IBD-BLK-004,realize,06_Traceability,Dependency,Dependency,UC-001,提供宽带互联网接入,IBD-BLK-004,网络运营中心,宽带接入由卫星、信关站、用户终端和网络运营中心协同实现
DTRACE-UC-002-IBD-BLK-001,DTRACE-UC-002-IBD-BLK-001,realize,06_Traceability,Dependency,Dependency,UC-002,管理用户移动性,IBD-BLK-001,卫星,移动性管理主要由卫星与用户终端完成
DTRACE-UC-002-IBD-BLK-003,DTRACE-UC-002-IBD-BLK-003,realize,06_Traceability,Dependency,Dependency,UC-002,管理用户移动性,IBD-BLK-003,用户终端,移动性管理主要由卫星与用户终端完成
DTRACE-UC-003-IBD-BLK-001,DTRACE-UC-003-IBD-BLK-001,realize,06_Traceability,Dependency,Dependency,UC-003,故障处理与网络自愈,IBD-BLK-001,卫星,故障自愈依赖卫星、信关站和网络运营中心的协作
DTRACE-UC-003-IBD-BLK-002,DTRACE-UC-003-IBD-BLK-002,realize,06_Traceability,Dependency,Dependency,UC-003,故障处理与网络自愈,IBD-BLK-002,信关站,故障自愈依赖卫星、信关站和网络运营中心的协作
DTRACE-UC-003-IBD-BLK-004,DTRACE-UC-003-IBD-BLK-004,realize,06_Traceability,Dependency,Dependency,UC-003,故障处理与网络自愈,IBD-BLK-004,网络运营中心,故障自愈依赖卫星、信关站和网络运营中心的协作
DTRACE-UC-004-IBD-BLK-001,DTRACE-UC-004-IBD-BLK-001,realize,06_Traceability,Dependency,Dependency,UC-004,卫星在轨管理,IBD-BLK-001,卫星,卫星在轨管理由卫星自身和网络运营中心支撑
DTRACE-UC-004-IBD-BLK-004,DTRACE-UC-004-IBD-BLK-004,realize,06_Traceability,Dependency,Dependency,UC-004,卫星在轨管理,IBD-BLK-004,网络运营中心,卫星在轨管理由卫星自身和网络运营中心支撑
DREL-IBD-002,DREL-IBD-002,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,卫星,IBD-BLK-003,用户终端,用户链路 (IF-002)，卫星通过多波束相控阵天线与用户终端进行Ka频段空口通信
DREL-IBD-003,DREL-IBD-003,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,卫星,IBD-BLK-002,信关站,馈电链路 (IF-003)，卫星与信关站之间Ka频段馈电连接
DREL-IBD-004,DREL-IBD-004,connector,06_Traceability,Dependency,Dependency,IBD-BLK-002,信关站,IBD-BLK-004,网络运营中心,信关站地面网络接口 (IF-004)，信关站与网络运营中心通过地面回传网络交换控制与用户数据
DREL-IBD-001,DREL-IBD-001,connector,06_Traceability,Dependency,Dependency,IBD-IF-001,星间激光链路接口,IBD-BLK-001,卫星,Ka馈电信号经天线接口进入相控阵天线系统。
DREL-IBD-005,DREL-IBD-005,connector,06_Traceability,Dependency,Dependency,IBD-BLK-005,网络汇聚与交换单元,IBD-BLK-006,光纤回传接口单元,汇聚后的IP流量经光纤回传接口单元送出。
DREL-IBD-006,DREL-IBD-006,connector,06_Traceability,Dependency,Dependency,IBD-BLK-006,光纤回传接口单元,IBD-IF-002,用户链路接口,光纤回传接口连接到信关站地面网络接口，接入互联网骨干。
DREL-IBD-007,DREL-IBD-007,connector,06_Traceability,Dependency,Dependency,IBD-BLK-004,网络运营中心,IBD-BLK-003,用户终端,链路控制单元向基带处理下发波束管理、资源分配和切换指令。
DREL-IBD-008,DREL-IBD-008,connector,06_Traceability,Dependency,Dependency,IBD-BLK-004,网络运营中心,IBD-BLK-005,网络汇聚与交换单元,链路控制单元与网络交换单元交互，影响路由策略和故障切换。
DREL-IBD-009,DREL-IBD-009,connector,06_Traceability,Dependency,Dependency,IBD-BLK-007,站控与冗余管理单元,IBD-BLK-004,网络运营中心,站控与冗余管理单元将切换命令、状态同步发送给链路控制单元。
DREL-IBD-010,DREL-IBD-010,connector,06_Traceability,Dependency,Dependency,IBD-BLK-007,站控与冗余管理单元,IBD-BLK-005,网络汇聚与交换单元,站控单元通过管理接口配置并监控网络交换单元。
DREL-IBD-011,DREL-IBD-011,connector,06_Traceability,Dependency,Dependency,IBD-BLK-008,电源与环境控制单元,IBD-BLK-001,卫星,电源与环境控制单元为天线系统提供一次电源。
DREL-IBD-012,DREL-IBD-012,connector,06_Traceability,Dependency,Dependency,IBD-BLK-008,电源与环境控制单元,IBD-BLK-002,信关站,电源与环境控制单元为射频前端供电。
DREL-IBD-013,DREL-IBD-013,connector,06_Traceability,Dependency,Dependency,IBD-BLK-008,电源与环境控制单元,IBD-BLK-003,用户终端,电源与环境控制单元为基带处理单元供电。
DREL-IBD-014,DREL-IBD-014,connector,06_Traceability,Dependency,Dependency,IBD-BLK-008,电源与环境控制单元,IBD-BLK-005,网络汇聚与交换单元,电源与环境控制单元为网络交换单元供电。
DREL-IBD-015,DREL-IBD-015,connector,06_Traceability,Dependency,Dependency,IBD-BLK-008,电源与环境控制单元,IBD-BLK-007,站控与冗余管理单元,电源与环境控制单元为站控单元提供可靠电源。
