local_id,name,type,metaclass,stereotype,documentation,source_requirement,status
BLK-001,我是卫星设计师系统,Block,Class,SysML::Blocks::Block,根据当前对话抽取的系统根模块：我是卫星总体设计师，请围绕一个100颗低轨宽带卫星互联网系统，引导我完成总体需求、系统边界、功能链路、接口、行为流程和约束条件，并生成可推送到MagicDraw的完整SysML工程。 已收到问题：我是卫星总体设计师，请围绕一个100颗低轨宽,,candidate
REQ-001,我是卫星设计师需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“我是卫星设计师”相关要求。,REQ-001,candidate
REQ-002,围绕100颗低轨宽带卫星互联网需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“围绕100颗低轨宽带卫星互联网”相关要求。,REQ-002,candidate
REQ-003,引导我完成需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“引导我完成”相关要求。,REQ-003,candidate
REQ-004,边界需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“边界”相关要求。,REQ-004,candidate
REQ-005,功能链路需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“功能链路”相关要求。,REQ-005,candidate
REQ-006,接口需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“接口”相关要求。,REQ-006,candidate
REQ-007,行为流程约束条件需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“行为流程约束条件”相关要求。,REQ-007,candidate
REQ-008,并可推送到MagicDraw的完整S需求,Requirement,Class,SysML::Requirements::Requirement,系统应覆盖或满足对话中提到的“并可推送到MagicDraw的完整S”相关要求。,REQ-008,candidate
BLK-002,我是卫星设计师子系统,Block,Class,SysML::Blocks::Block,承担“我是卫星设计师”相关功能、资源或状态管理。,,candidate
BLK-003,围绕100颗低轨宽带卫星互联网子系统,Block,Class,SysML::Blocks::Block,承担“围绕100颗低轨宽带卫星互联网”相关功能、资源或状态管理。,,candidate
BLK-004,引导我完成子系统,Block,Class,SysML::Blocks::Block,承担“引导我完成”相关功能、资源或状态管理。,,candidate
BLK-005,边界子系统,Block,Class,SysML::Blocks::Block,承担“边界”相关功能、资源或状态管理。,,candidate
BLK-006,功能链路子系统,Block,Class,SysML::Blocks::Block,承担“功能链路”相关功能、资源或状态管理。,,candidate
BLK-007,接口子系统,Block,Class,SysML::Blocks::Block,承担“接口”相关功能、资源或状态管理。,,candidate
UC-001,执行我是卫星设计师,UseCase,UseCase,,围绕“我是卫星设计师”形成用户、外部系统或内部流程交互场景。,,candidate
UC-002,执行围绕100颗低轨宽带卫星互联网,UseCase,UseCase,,围绕“围绕100颗低轨宽带卫星互联网”形成用户、外部系统或内部流程交互场景。,,candidate
UC-003,执行引导我完成,UseCase,UseCase,,围绕“引导我完成”形成用户、外部系统或内部流程交互场景。,,candidate
UC-004,执行边界,UseCase,UseCase,,围绕“边界”形成用户、外部系统或内部流程交互场景。,,candidate
UC-005,执行功能链路,UseCase,UseCase,,围绕“功能链路”形成用户、外部系统或内部流程交互场景。,,candidate
IF-001,功能链路接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,承载“功能链路”相关数据、控制、状态或资源交互。,,candidate
IF-002,接口接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,承载“接口”相关数据、控制、状态或资源交互。,,candidate
ACT-001,我是卫星设计师流程,Activity,Activity,,描述“我是卫星设计师”从触发、处理、反馈到闭环确认的活动流程。,,candidate
ACT-002,围绕100颗低轨宽带卫星互联网流程,Activity,Activity,,描述“围绕100颗低轨宽带卫星互联网”从触发、处理、反馈到闭环确认的活动流程。,,candidate
ACT-003,引导我完成流程,Activity,Activity,,描述“引导我完成”从触发、处理、反馈到闭环确认的活动流程。,,candidate
ACT-004,边界流程,Activity,Activity,,描述“边界”从触发、处理、反馈到闭环确认的活动流程。,,candidate
ACT-005,功能链路流程,Activity,Activity,,描述“功能链路”从触发、处理、反馈到闭环确认的活动流程。,,candidate
CON-001,行为流程约束条件约束,ConstraintBlock,Class,SysML::ConstraintBlocks::ConstraintBlock,对“行为流程约束条件”相关性能、资源、可靠性或安全条件进行约束表达。,,candidate
