local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-002,空间段,系统包含空间段
REL-002,REL-002,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-004,地面段,系统包含地面段
REL-003,REL-003,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-005,用户段,系统包含用户段
REL-004,REL-004,contains,06_Traceability,Association,CompositeAssociation,BLK-002,空间段,BLK-003,卫星,空间段由多颗卫星组成
REL-005,REL-005,contains,06_Traceability,Association,CompositeAssociation,BLK-002,空间段,BLK-006,星间链路,空间段可包含星间链路子系统
REL-006,REL-006,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-001,星座规模要求,BLK-002,空间段,100颗卫星的规模由空间段满足
REL-007,REL-007,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-002,覆盖目标,UC-001,提供互联网接入服务,覆盖目标细化为提供互联网接入服务用例
REL-008,REL-008,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-004,星间链路需求,UC-004,星间路由与中继,星间链路需求由星间路由与中继用例实现
REL-009,REL-009,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,地面信关站布局,IF-002,馈电链路,信关站布局需求可通过馈电链路接口配置满足
REL-010,REL-010,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-006,频率与通信体制,IF-001,用户链路,频率体制需求影响用户链路接口规格
REL-011,REL-011,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-007,部署与演进约束,UC-003,部署卫星星座,部署约束细化为星座部署用例
REL-012,REL-012,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-008,管理与安全要求,UC-002,星座管理与控制,管理安全要求由星座管理与控制用例实现
REL-013,REL-013,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,UC-001,提供互联网接入服务,IF-001,用户链路,互联网接入服务需分配用户链路接口
REL-014,REL-014,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,UC-001,提供互联网接入服务,IF-002,馈电链路,互联网接入服务需分配馈电链路接口
REL-015,REL-015,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,UC-002,星座管理与控制,IF-004,测控链路,星座管理需分配测控链路接口
REL-016,REL-016,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,UC-004,星间路由与中继,IF-003,星间链路接口,星间路由用例需分配星间链路接口
REL-017,REL-017,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-001,轨道资源与频率协调约束,REQ-006,频率与通信体制,轨道频率协调约束约束频率体制选择
REL-018,REL-018,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-002,运载火箭能力约束,REQ-007,部署与演进约束,运载能力约束限制部署策略
REL-019,REL-019,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-003,链路预算与服务质量约束,REQ-002,覆盖目标,链路预算约束影响覆盖目标的实现
REL-020,REL-020,trace,06_Traceability,Dependency,SysML::Requirements::Trace,ACT-001,星座部署流程,UC-003,部署卫星星座,星座部署流程实现部署卫星星座用例
REL-021,REL-021,trace,06_Traceability,Dependency,SysML::Requirements::Trace,ACT-002,通信服务建立与维护,UC-001,提供互联网接入服务,通信服务建立与维护活动支撑互联网接入服务
