local_id,name,type,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,Association,CompositeAssociation,BLK-001,我是卫星设计师系统,BLK-002,我是卫星设计师子系统,系统根模块包含该动态抽取子系统。
REL-002,REL-002,contains,Association,CompositeAssociation,BLK-001,我是卫星设计师系统,BLK-003,围绕100颗低轨宽带卫星互联网子系统,系统根模块包含该动态抽取子系统。
REL-003,REL-003,contains,Association,CompositeAssociation,BLK-001,我是卫星设计师系统,BLK-004,引导我完成子系统,系统根模块包含该动态抽取子系统。
REL-004,REL-004,contains,Association,CompositeAssociation,BLK-001,我是卫星设计师系统,BLK-005,边界子系统,系统根模块包含该动态抽取子系统。
REL-005,REL-005,contains,Association,CompositeAssociation,BLK-001,我是卫星设计师系统,BLK-006,功能链路子系统,系统根模块包含该动态抽取子系统。
REL-006,REL-006,contains,Association,CompositeAssociation,BLK-001,我是卫星设计师系统,BLK-007,接口子系统,系统根模块包含该动态抽取子系统。
REL-007,REL-007,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-001,我是卫星设计师系统,REQ-001,我是卫星设计师需求,动态抽取模块满足对应需求。
REL-008,REL-008,trace,Dependency,SysML::Requirements::Trace,REQ-001,我是卫星设计师需求,UC-001,执行我是卫星设计师,需求追溯到对应用例。
REL-009,REL-009,verify,Dependency,SysML::Requirements::Verify,CON-001,行为流程约束条件约束,REQ-001,我是卫星设计师需求,约束块验证对应需求。
REL-010,REL-010,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-002,我是卫星设计师子系统,REQ-002,围绕100颗低轨宽带卫星互联网需求,动态抽取模块满足对应需求。
REL-011,REL-011,trace,Dependency,SysML::Requirements::Trace,REQ-002,围绕100颗低轨宽带卫星互联网需求,UC-002,执行围绕100颗低轨宽带卫星互联网,需求追溯到对应用例。
REL-012,REL-012,verify,Dependency,SysML::Requirements::Verify,CON-001,行为流程约束条件约束,REQ-002,围绕100颗低轨宽带卫星互联网需求,约束块验证对应需求。
REL-013,REL-013,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-003,围绕100颗低轨宽带卫星互联网子系统,REQ-003,引导我完成需求,动态抽取模块满足对应需求。
REL-014,REL-014,trace,Dependency,SysML::Requirements::Trace,REQ-003,引导我完成需求,UC-003,执行引导我完成,需求追溯到对应用例。
REL-015,REL-015,verify,Dependency,SysML::Requirements::Verify,CON-001,行为流程约束条件约束,REQ-003,引导我完成需求,约束块验证对应需求。
REL-016,REL-016,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-004,引导我完成子系统,REQ-004,边界需求,动态抽取模块满足对应需求。
REL-017,REL-017,trace,Dependency,SysML::Requirements::Trace,REQ-004,边界需求,UC-004,执行边界,需求追溯到对应用例。
REL-018,REL-018,verify,Dependency,SysML::Requirements::Verify,CON-001,行为流程约束条件约束,REQ-004,边界需求,约束块验证对应需求。
REL-019,REL-019,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-005,边界子系统,REQ-005,功能链路需求,动态抽取模块满足对应需求。
REL-020,REL-020,trace,Dependency,SysML::Requirements::Trace,REQ-005,功能链路需求,UC-005,执行功能链路,需求追溯到对应用例。
REL-021,REL-021,verify,Dependency,SysML::Requirements::Verify,CON-001,行为流程约束条件约束,REQ-005,功能链路需求,约束块验证对应需求。
REL-022,REL-022,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-006,功能链路子系统,REQ-006,接口需求,动态抽取模块满足对应需求。
REL-023,REL-023,trace,Dependency,SysML::Requirements::Trace,REQ-006,接口需求,UC-001,执行我是卫星设计师,需求追溯到对应用例。
REL-024,REL-024,verify,Dependency,SysML::Requirements::Verify,CON-001,行为流程约束条件约束,REQ-006,接口需求,约束块验证对应需求。
REL-025,REL-025,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-007,接口子系统,REQ-007,行为流程约束条件需求,动态抽取模块满足对应需求。
REL-026,REL-026,trace,Dependency,SysML::Requirements::Trace,REQ-007,行为流程约束条件需求,UC-002,执行围绕100颗低轨宽带卫星互联网,需求追溯到对应用例。
REL-027,REL-027,verify,Dependency,SysML::Requirements::Verify,CON-001,行为流程约束条件约束,REQ-007,行为流程约束条件需求,约束块验证对应需求。
REL-028,REL-028,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-001,我是卫星设计师系统,REQ-008,并可推送到MagicDraw的完整S需求,动态抽取模块满足对应需求。
