local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,全球宽带通信服务,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应提供全球（含极地）低延迟、高带宽的互联网接入服务，支持移动和固定终端。,REQ-001,candidate
REQ-002,单用户下行速率,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单用户下行速率应不低于100 Mbps。,REQ-001,candidate
REQ-003,端到端延迟,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统端到端通信延迟应不超过30 ms。,REQ-001,candidate
REQ-004,系统可用性,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统可用性应不低于99.5%。,REQ-001,candidate
REQ-005,星座规模,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,空间段由100颗低轨卫星组成。,REQ-005,candidate
REQ-006,轨道构型,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星应采用高度约550 km、倾角53°的轨道，分布在10个轨道面，每个轨道面10颗卫星，均匀分布并相互形成规则覆盖。,REQ-005,candidate
REQ-007,卫星平台基本约束,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单颗卫星质量约150 kg，功耗400 W，三轴稳定姿控精度≤0.05°，设计寿命5～7年，采用电推进系统。,REQ-005,candidate
REQ-008,通信载荷配置,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,每颗卫星须配置Ka频段多波束相控阵用户链路天线（16～32波束）、2条10 Gbps星间激光链路、Ka/Q/V频段馈电链路（可动抛物面天线，单星馈电容量≥2 Gbps）。,REQ-005,candidate
REQ-009,地面段组成,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,地面段应包括5个信关站（全球分布）、3个测控站和1个运控中心，支持星座管理、数据中继与地面网络互联。,REQ-009,candidate
REQ-010,用户终端类型,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户终端应采用平板相控阵天线，自动跟踪卫星切换，功耗约10 W，并能集成Wi-Fi/移动网络。,REQ-010,candidate
REQ-011,单星故障覆盖冗余,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,当单颗卫星失效时，相邻卫星应通过相位调整覆盖其服务缝隙，确保服务连续性。,REQ-001,candidate
REQ-012,成本上限,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星研制成本不超过50万美元，发射成本不超过50万美元（一箭多星）。,REQ-012,candidate
REQ-013,频率规则合规,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统须遵循ITU无线电规则，完成Ku/Ka等频段国际协调。,REQ-013,candidate
REQ-014,星座覆盖验收条件,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,覆盖区域内95%地点在24小时内至少可见一颗仰角≥25°的卫星，且单用户速率满足设定指标。,REQ-001,candidate
BLK-001,空间段,Block,02_Structure,Class,SysML::Blocks::Block,包含所有100颗低轨卫星的星座整体，实现全球覆盖服务。,,candidate
BLK-002,单颗卫星,Block,02_Structure,Class,SysML::Blocks::Block,组成星座的基本卫星单元，包含平台、载荷等子系统。,,candidate
BLK-003,卫星平台,Block,02_Structure,Class,SysML::Blocks::Block,提供结构、供电、姿轨控、推进、热控等基础服务，质量约150 kg，功耗400 W，三轴稳定，电推进。,,candidate
BLK-004,通信载荷,Block,02_Structure,Class,SysML::Blocks::Block,执行用户链路、星间链路和馈电链路的通信任务，包含天线、射频前端和基带处理。,,candidate
BLK-005,用户链路天线（多波束相控阵）,Block,02_Structure,Class,SysML::Blocks::Block,Ka频段相控阵天线，每星产生16～32个可跳变波束，服务地面用户终端。,,candidate
BLK-006,星间链路终端（激光）,Block,02_Structure,Class,SysML::Blocks::Block,两个激光通信终端，前后各一，提供10 Gbps星间中继链路。,,candidate
BLK-007,馈电链路天线,Block,02_Structure,Class,SysML::Blocks::Block,Ka/Q/V频段可动抛物面天线，与地面信关站建立馈电链路，单星容量≥2 Gbps。,,candidate
BLK-008,地面段,Block,02_Structure,Class,SysML::Blocks::Block,包含信关站、测控站和星座管理中心，支持星座运行和与地面网络互联。,,candidate
BLK-009,信关站,Block,02_Structure,Class,SysML::Blocks::Block,共5个，全球分布，通过光纤互连，与多颗可视卫星同时建立馈电链路。,,candidate
BLK-010,测控站,Block,02_Structure,Class,SysML::Blocks::Block,3个全球分布的S频段TT&C站，支持卫星遥控、遥测与软件上注。,,candidate
BLK-011,运控中心,Block,02_Structure,Class,SysML::Blocks::Block,统一负责轨道规划、碰撞预警、资源调度和故障管理。,,candidate
BLK-012,用户段,Block,02_Structure,Class,SysML::Blocks::Block,包含各类用户终端，使用平板相控阵天线，支持移动/固定宽带接入。,,candidate
BLK-013,用户终端设备,Block,02_Structure,Class,SysML::Blocks::Block,平板相控阵天线终端，自动跟踪卫星，功率约10 W，提供Wi-Fi/移动网络接口。,,candidate
UC-001,提供全球宽带接入,UseCase,03_UseCases,UseCase,,系统为授权用户提供连续的互联网接入服务，支持移动和固定使用场景。,,candidate
UC-002,管理星座运行,UseCase,03_UseCases,UseCase,,运控中心执行轨道维持、相位调整、碰撞预警、故障恢复等任务，保证星座服务能力。,,candidate
UC-003,建立与维护用户通信链路,UseCase,03_UseCases,UseCase,,卫星与用户终端之间动态建立Ka频段波束连接，实现数据收发和跨星切换。,,candidate
UC-004,处理卫星故障与覆盖恢复,UseCase,03_UseCases,UseCase,,单颗卫星失效时，相邻卫星及地面系统协同调整覆盖与路由，保持服务连续性。,,candidate
UC-005,部署卫星入轨与组网,UseCase,03_UseCases,UseCase,,卫星发射入轨后完成展开、初始检测、电推相位调整和星间/馈电链路激活。,,candidate
UC-006,卫星离轨处置,UseCase,03_UseCases,UseCase,,卫星寿命末期执行主动离轨，确保25年内再入大气层，满足空间碎片减缓要求。,,candidate
IF-001,用户链路无线接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,Ka频段相控阵无线接口，连接卫星用户链路天线与用户终端，支持波束跳变和多用户接入。,,candidate
