local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座规模要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应由100颗卫星组成低轨星座，提供互联网服务。,REQ-001,candidate
REQ-002,覆盖目标,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需确定覆盖类型：全球覆盖或特定区域（如一带一路、极地），并明确用户终端形态和最低速率要求。,REQ-002,candidate
REQ-003,轨道构型与高度范围,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需确定星座构型（Walker或极轨道混合）和轨道高度范围（如300-600km或800-1200km），并明确是否需要极区覆盖。,REQ-003,candidate
REQ-004,星间链路需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需确定星间链路是否必须建设，以及链路类型（激光或RF）。,REQ-004,candidate
REQ-005,地面信关站布局,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需确定地面信关站布局策略：全球多站、本国少量站加海外建站受限，或依赖星间链路与少量馈电站。,REQ-005,candidate
REQ-006,频率与通信体制,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需确定是否已有规划频率及多址方式偏好（如DVB-S2X/5G NTN/自定义体制），并考虑ITU协调建议。,REQ-006,candidate
REQ-007,部署与演进约束,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需考虑火箭运载能力（一箭多星）、分阶段部署计划、卫星寿命、推进方式（液体/电推）及成本限制。,REQ-007,candidate
REQ-008,管理与安全要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,需确定网络安全与遥测遥控加密需求，以及频率规避、干扰协调（与地面5G共存等）的特殊要求。,REQ-008,candidate
BLK-001,低轨卫星互联网系统,Block,02_Structure,Class,SysML::Blocks::Block,顶层系统块，包含空间段、地面段和用户段，提供全球或区域互联网接入服务。,,candidate
BLK-002,空间段,Block,02_Structure,Class,SysML::Blocks::Block,由100颗卫星组成的星座，搭载通信有效载荷、星间链路（可选）和推进系统。,,candidate
BLK-003,卫星,Block,02_Structure,Class,SysML::Blocks::Block,单颗卫星平台，包含通信载荷、星上处理、电源、姿轨控及测控分系统。,,candidate
BLK-004,地面段,Block,02_Structure,Class,SysML::Blocks::Block,包括信关站、网络控制中心和遥测遥控站，负责馈电链路、网络管理和星座监控。,,candidate
BLK-005,用户段,Block,02_Structure,Class,SysML::Blocks::Block,各类用户终端，如手持、车载、机载、船载和固定站，通过用户链路接入卫星网络。,,candidate
BLK-006,星间链路,Block,02_Structure,Class,SysML::Blocks::Block,可选的卫星间通信链路，支持在轨数据中继和网络路由。,,candidate
UC-001,提供互联网接入服务,UseCase,03_UseCases,UseCase,,用户终端通过星座建立双向通信链路，访问互联网或专网服务。,REQ-002,candidate
