local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座规模与轨道要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星座由100颗低轨卫星组成，部署在多个轨道面，实现全球覆盖。轨道高度700-1200km，倾角≥80°以保证极地覆盖。基于对话“100颗卫星组成的低轨卫星总体方案”的核心目标。,REQ-001,candidate
REQ-002,通信服务性能,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应提供下行速率不低于100Mbps、上行速率不低于20Mbps的单用户通信能力，端到端时延≤50ms（星间+网关）。假设为宽带互联网星座。,REQ-002,candidate
REQ-003,卫星平台通用能力,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星质量≤500kg，太阳翼输出功率≥2kW，具备自主轨道保持和避碰能力，设计寿命5-7年，寿命末期主动降轨。基于低轨小型通信卫星典型能力假设。,REQ-003,candidate
REQ-004,星间链路要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星需配备星间激光通信终端，实现相邻轨道面内及面间高速互联，单链路速率≥10Gbps，具备路由和故障恢复能力。,REQ-004,candidate
BLK-001,低轨宽带卫星星座系统,Block,02_SystemContext,Class,SysML::Blocks::Block,总体系统上下文块，由空间段、地面段和用户段组成。空间段包含100颗LEO卫星，地面段包含信关站和运控中心，用户段包含各类用户终端。,,candidate
BLK-002,空间段_LEO_Satellite,Block,02_SystemContext,Class,SysML::Blocks::Block,单颗LEO卫星平台，含有效载荷（通信转发器、星间激光终端、星上处理器）、平台（电源、姿态控制、推进、数管），以及基于REQ-003的约束。,,candidate
BLK-003,地面段_Ground_Segment,Block,02_SystemContext,Class,SysML::Blocks::Block,地面信关站（联网接入Internet）、卫星测控中心、星座管理及网络控制中心。,,candidate
BLK-004,用户段_User_Terminal,Block,02_SystemContext,Class,SysML::Blocks::Block,相控阵天线用户终端（固定/移动），支持上、下行数据通信。,,candidate
UC-001,全球宽带通信服务,UseCase,03_UseCases,UseCase,,使用户通过终端接入星座，获得互联网接入服务。覆盖需求REQ-001、REQ-002。,,candidate
UC-002,星座运维管理,UseCase,03_UseCases,UseCase,,运营方通过地面段对星座进行遥测、遥控、轨道管理、配置更新和故障处理。,,candidate
IF-001,星间激光链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星之间高速通信接口，采用1550nm激光，支持网状拓扑，包含捕获跟踪瞄准（PAT）和调制解调。满足REQ-004。,,candidate
IF-002,星地Ka馈电链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与信关站之间的射频馈电链路，下行27.5-30GHz，上行17.7-20.2GHz，支持多波束。满足高吞吐回传需求。,,candidate
IF-003,用户链路接口,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,卫星与用户终端之间的服务链路，采用Ku/Ka频段，支持相控阵波束跳变。满足REQ-002。,,candidate
ACT-001,星座部署与初始化活动,Activity,05_Activities,Activity,,描述通过一箭多星方式分批将100颗卫星送入轨道，经在轨测试后组网形成工作星座的工作流。假设采用猎鹰9等火箭。,,candidate
ACT-002,星上数据转发处理,Activity,05_Activities,Activity,,卫星接收用户上行信号，经过星上基带交换或再生处理，通过星间链路路由至合适落地信关站的信号流活动。,,candidate
CON-001,链路预算与功率约束,ConstraintBlock,06_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,保证星地、星间链路在给定发射功率、天线增益、传输损耗条件下满足Eb/N0门限。基于通信链路计算公式，参数待定。,,candidate
CON-002,轨道覆盖与几何约束,ConstraintBlock,06_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,约束卫星轨道要素、相位分布，使100颗卫星满足全球任一点至少x°仰角下可见1颗以上卫星的概率≥99%。由REQ-001细化。,,candidate
