local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
BLK-001,SmartCrossDomainSystemModel,Block,02_Structure,Class,SysML::Blocks::Block,跨域智能装备系统顶层模型，作为所有模型元素的命名空间和根包。,,candidate
BLK-002,01_Requirements,Block,SmartCrossDomainSystemModel,Class,SysML::Blocks::Block,需求包，存放所有系统需求。,,candidate
BLK-003,02_Blocks,Block,SmartCrossDomainSystemModel,Class,SysML::Blocks::Block,系统组成块包，定义系统结构及关键组件。,,candidate
BLK-004,03_UseCases,Block,SmartCrossDomainSystemModel,Class,SysML::Blocks::Block,用例包，描述系统功能与用户交互。,,candidate
BLK-005,04_Interfaces,Block,SmartCrossDomainSystemModel,Class,SysML::Blocks::Block,接口包，定义系统内外部信息与控制接口。,,candidate
BLK-006,05_Activities,Block,SmartCrossDomainSystemModel,Class,SysML::Blocks::Block,活动包，描述系统行为流程。,,candidate
BLK-007,06_Constraints,Block,SmartCrossDomainSystemModel,Class,SysML::Blocks::Block,约束包，定义系统性能与设计约束。,,candidate
REQ-001,CrossDomainMissionCoordination,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应能协调空中、地面与海上无人装备，完成跨域联合侦察、打击与评估任务。,REQ-001,candidate
REQ-002,CommunicationLatency,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,关键跨域指令与状态数据端到端通信延迟不超过100ms。,REQ-002,candidate
REQ-003,SecureAuthentication,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,所有域间交互须进行身份认证与数据加密，防止非授权访问与篡改。,REQ-003,candidate
REQ-004,RealTimeSituationalAwareness,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应提供统一的跨域战术态势图，更新频率不低于1Hz。,REQ-004,candidate
BLK-001-2,CrossDomainIntelligentEquipmentSystem,Block,02_Blocks,Class,SysML::Blocks::Block,跨域智能装备系统整体，作为上下文中的系统边界块。,,candidate
BLK-002-2,CommandControlCenter,Block,02_Blocks,Class,SysML::Blocks::Block,指挥控制中心，负责全局任务规划、态势融合、决策与指令下达。,,candidate
BLK-003-2,AerialUnmannedPlatform,Block,02_Blocks,Class,SysML::Blocks::Block,空中无人平台（如无人机），提供长航时侦察、精确打击能力。,,candidate
BLK-004-2,GroundUnmannedPlatform,Block,02_Blocks,Class,SysML::Blocks::Block,地面无人平台（如无人战车），执行地面突击、排爆、侦察任务。,,candidate
BLK-005-2,MarineUnmannedPlatform,Block,02_Blocks,Class,SysML::Blocks::Block,海上无人平台（如无人艇），承担海上巡逻、反潜、支援任务。,,candidate
BLK-006-2,CommunicationNetwork,Block,02_Blocks,Class,SysML::Blocks::Block,跨域通信网络，提供域间数据链路与网络传输服务。,,candidate
UC-001,PerformCrossDomainMission,UseCase,03_UseCases,UseCase,,操作员通过执行跨域任务用例，发起并监控多域协同作战行动。,REQ-001,candidate
UC-002,ShareSituationalAwareness,UseCase,03_UseCases,UseCase,,系统汇聚各域传感器数据，生成统一态势图并实时共享。,REQ-004,candidate
UC-003,CollaborativeDecisionMaking,UseCase,03_UseCases,UseCase,,基于共享态势，辅助指挥员进行跨域协同决策与动态任务分配。,REQ-001,candidate
UC-004,MonitorExecution,UseCase,03_UseCases,UseCase,,实时监控跨域任务执行状态，支持战术调整与效果评估。,REQ-001,candidate
IF-001,C2Interface,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,指挥控制接口，定义指挥中心与各无人平台之间的命令、状态遥测与控制数据格式与协议。,,candidate
IF-002,InterDomainDataLink,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,域间数据链接口，支持不同域平台间的传感器数据、协同信息与任务同步流的交换。,,candidate
IF-003,SensorDataStream,Interface,04_Interfaces,Interface,SysML::PortsAndFlows::InterfaceBlock,传感器数据流接口，定义各平台传感器到融合中心的元数据格式。,,candidate
ACT-001,CrossDomainMissionProcess,Activity,05_Activities,Activity,,跨域任务执行的主要行为流程：态势感知→数据融合→协同决策→任务分配→平台执行→效果评估。,,candidate
CON-001,LatencyConstraintBlock,ConstraintBlock,06_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,端到端通信延迟约束，强制关键路径延迟≤100ms。,REQ-002,candidate
CON-002,BandwidthConstraintBlock,ConstraintBlock,06_Constraints,Class,SysML::ConstraintBlocks::ConstraintBlock,域间主干链路带宽约束，要求≥10Mbps以满足态势视频与数据融合需求。,REQ-004,candidate
