local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-002,覆盖能力,UC-001,宽带用户接入,覆盖能力需求由宽带用户接入用例体现
REL-002,REL-002,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-003,用户容量,UC-001,宽带用户接入,用户容量需求在宽带用户接入中通过资源分配实现
REL-003,REL-003,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-003,用户容量,UC-003,应急通信保障,容量需求在应急通信保障中通过优先级调度落实
REL-004,REL-004,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-004,星间互联,UC-002,跨星业务转发,星间互联需求由跨星业务转发用例实现
REL-005,REL-005,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,端到端时延,UC-001,宽带用户接入,端到端时延需求约束宽带用户接入流程
REL-006,REL-006,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,端到端时延,UC-003,应急通信保障,时延需求影响应急通信的端到端性能
REL-007,REL-007,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-006,链路带宽,UC-005,链路带宽升级评估,链路带宽需求作为带宽升级评估的输入
REL-008,REL-008,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-007,可靠性,UC-004,星座健康监测,可靠性需求通过健康监测和故障处置保障
REL-009,REL-009,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-008,运维管理,UC-004,星座健康监测,运维管理需求通过星座健康监测用例实现
REL-010,REL-010,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-002,通信卫星,IF-001,用户接入接口,通信卫星分配用户接入接口
REL-011,REL-011,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-006,用户终端,IF-001,用户接入接口,用户终端作为用户接入接口的另一端点
REL-012,REL-012,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-002,通信卫星,IF-002,馈电链路接口,通信卫星提供馈电链路接口
REL-013,REL-013,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-003,地面信关站,IF-002,馈电链路接口,地面信关站提供馈电链路接口
REL-014,REL-014,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-002,通信卫星,IF-003,星间链路接口,通信卫星通过星间链路接口与相邻卫星连接
REL-015,REL-015,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-004,运控管理系统,IF-004,运控管理接口,运控管理系统通过运控管理接口与星座交互
REL-016,REL-016,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-001,LEO星座系统,IF-004,运控管理接口,星座系统作为运控管理接口的服务端
REL-017,REL-017,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-005,服务管理系统,IF-005,服务管理接口,服务管理系统通过服务管理接口下发策略
REL-018,REL-018,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-003,地面信关站,IF-005,服务管理接口,地面信关站接收服务管理接口配置
REL-019,REL-019,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO星座系统,BLK-002,通信卫星,LEO星座系统由100颗通信卫星组成
REL-020,REL-020,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO星座系统,BLK-003,地面信关站,星座系统集成地面信关站
REL-021,REL-021,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO星座系统,BLK-004,运控管理系统,星座系统包含运控管理分系统
REL-022,REL-022,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO星座系统,BLK-005,服务管理系统,星座系统包含服务管理分系统
REL-023,REL-023,trace,06_Traceability,Dependency,SysML::Requirements::Trace,ACT-001,宽带用户接入流程,UC-001,宽带用户接入,宽带用户接入流程实现对应用例
REL-024,REL-024,trace,06_Traceability,Dependency,SysML::Requirements::Trace,ACT-002,跨星业务转发流程,UC-002,跨星业务转发,跨星业务转发流程实现对应用例
REL-025,REL-025,trace,06_Traceability,Dependency,SysML::Requirements::Trace,ACT-003,星座健康监测流程,UC-004,星座健康监测,健康监测流程实现星座健康监测用例
REL-026,REL-026,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-001,端到端时延约束,REQ-005,端到端时延,时延约束细化了端到端时延需求
REL-027,REL-027,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-002,星间链路带宽约束,REQ-006,链路带宽,带宽约束细化了链路带宽需求
REL-028,REL-028,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-003,单星吞吐量约束,REQ-009,单星用户侧转发吞吐量,吞吐量约束细化了单星转发能力需求
REL-029,REL-029,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-004,并发用户数约束,REQ-003,用户容量,并发用户数约束细化了用户容量需求
REL-030,REL-030,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-001,用户接入接口,REQ-002,覆盖能力,用户接入接口支撑覆盖能力需求
REL-031,REL-031,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-001,用户接入接口,REQ-003,用户容量,用户接入接口承载用户容量相关数据
REL-032,REL-032,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-001,用户接入接口,REQ-005,端到端时延,用户接入接口性能直接影响端到端时延
REL-033,REL-033,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-003,星间链路接口,REQ-004,星间互联,星间链路接口实现星间互联需求
REL-034,REL-034,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-003,星间链路接口,REQ-006,链路带宽,星间链路接口带宽满足链路带宽需求
REL-035,REL-035,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-004,运控管理接口,REQ-008,运维管理,运控管理接口支撑运维管理需求
REL-036,REL-036,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO星座系统,BLK-006,用户终端,系统结构包含该模块。
REL-037,REL-037,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO星座系统,BLK-007,设计师,系统结构包含该模块。
REL-038,REL-038,connector,06_Traceability,Dependency,Dependency,BLK-001,LEO星座系统,BLK-002,通信卫星,相邻结构模块之间存在主架构连接。
REL-039,REL-039,connector,06_Traceability,Dependency,Dependency,BLK-002,通信卫星,BLK-003,地面信关站,相邻结构模块之间存在主架构连接。
REL-040,REL-040,connector,06_Traceability,Dependency,Dependency,BLK-003,地面信关站,BLK-004,运控管理系统,相邻结构模块之间存在主架构连接。
REL-041,REL-041,connector,06_Traceability,Dependency,Dependency,BLK-004,运控管理系统,BLK-005,服务管理系统,相邻结构模块之间存在主架构连接。
REL-042,REL-042,connector,06_Traceability,Dependency,Dependency,BLK-005,服务管理系统,BLK-006,用户终端,相邻结构模块之间存在主架构连接。
REL-043,REL-043,connector,06_Traceability,Dependency,Dependency,BLK-006,用户终端,BLK-007,设计师,相邻结构模块之间存在主架构连接。
REL-044,REL-044,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,LEO星座系统,REQ-001,星座规模,结构模块满足对应需求。
REL-045,REL-045,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,星座规模,UC-001,宽带用户接入,需求追溯到相关系统能力。
REL-046,REL-046,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-002,通信卫星,REQ-002,覆盖能力,结构模块满足对应需求。
REL-047,REL-047,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-003,地面信关站,REQ-003,用户容量,结构模块满足对应需求。
REL-048,REL-048,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-004,运控管理系统,REQ-004,星间互联,结构模块满足对应需求。
REL-049,REL-049,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-005,服务管理系统,REQ-005,端到端时延,结构模块满足对应需求。
REL-050,REL-050,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-006,用户终端,REQ-006,链路带宽,结构模块满足对应需求。
REL-051,REL-051,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-007,设计师,REQ-007,可靠性,结构模块满足对应需求。
REL-052,REL-052,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,LEO星座系统,REQ-008,运维管理,结构模块满足对应需求。
REL-053,REL-053,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-002,通信卫星,REQ-009,单星用户侧转发吞吐量,结构模块满足对应需求。
REL-054,REL-054,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-009,单星用户侧转发吞吐量,UC-004,星座健康监测,需求追溯到相关系统能力。
REL-055,REL-055,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-001,LEO星座系统,UC-001,宽带用户接入,结构模块支撑该系统能力实现。
REL-056,REL-056,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,宽带用户接入,ACT-001,宽带用户接入流程,用例由行为流程进一步细化。
REL-057,REL-057,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-002,通信卫星,UC-002,跨星业务转发,结构模块支撑该系统能力实现。
REL-058,REL-058,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-002,跨星业务转发,ACT-002,跨星业务转发流程,用例由行为流程进一步细化。
REL-059,REL-059,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-003,地面信关站,UC-003,应急通信保障,结构模块支撑该系统能力实现。
REL-060,REL-060,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-003,应急通信保障,ACT-003,星座健康监测流程,用例由行为流程进一步细化。
REL-061,REL-061,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-004,运控管理系统,UC-004,星座健康监测,结构模块支撑该系统能力实现。
REL-062,REL-062,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-004,星座健康监测,ACT-001,宽带用户接入流程,用例由行为流程进一步细化。
REL-063,REL-063,trace,06_Traceability,Dependency,SysML::Requirements::Trace,BLK-005,服务管理系统,UC-005,链路带宽升级评估,结构模块支撑该系统能力实现。
REL-064,REL-064,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-005,链路带宽升级评估,ACT-002,跨星业务转发流程,用例由行为流程进一步细化。
REL-065,REL-065,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,宽带用户接入,IF-001,用户接入接口,用例使用或暴露该接口。
