local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,任务目标与场景定义,UC-001,提供互联网接入服务,任务目标与场景需求追溯至提供互联网接入服务用例
REL-002,REL-002,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-002,星座构型与轨道要求,CON-001,Walker星座构型约束,星座构型需求由Walker星座构型约束细化
REL-003,REL-003,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-003,系统边界与外部接口要求,BLK-003,地面段,系统边界需求追溯至地面段块定义
REL-004,REL-004,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-003,系统边界与外部接口要求,BLK-005,外部系统,系统边界需求追溯至外部系统块
REL-005,REL-005,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-004,功能链与星上能力要求,IF-002,星间链路接口,星间链路能力需求分配给星间链路接口
REL-006,REL-006,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-004,功能链与星上能力要求,IF-003,用户链路接口,用户链路配置需求分配给用户链路接口
REL-007,REL-007,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,行为流程与运行模式要求,ACT-001,用户附着流程,行为流程需求与用户附着活动建立追溯
REL-008,REL-008,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,行为流程与运行模式要求,ACT-002,星间切换流程,行为流程需求与星间切换活动建立追溯
REL-009,REL-009,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-006,约束与验收要求,CON-003,单星可用度约束,可靠性约束需求由单星可用度约束块细化
REL-010,REL-010,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-006,约束与验收要求,CON-004,频率资源约束,频率约束需求由频率资源约束块细化
REL-011,REL-011,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网星座,BLK-002,卫星平台,星座由若干卫星平台组成
REL-012,REL-012,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网星座,BLK-003,地面段,星座系统包含地面段
REL-013,REL-013,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网星座,BLK-004,用户终端,星座服务对象包括用户终端
REL-014,REL-014,dependency,06_Traceability,Dependency,Dependency,IF-001,星地馈电链路接口,BLK-002,卫星平台,星地馈电链路接口依赖于卫星平台
REL-015,REL-015,dependency,06_Traceability,Dependency,Dependency,IF-001,星地馈电链路接口,BLK-003,地面段,星地馈电链路接口依赖于地面段
REL-016,REL-016,dependency,06_Traceability,Dependency,Dependency,IF-002,星间链路接口,BLK-002,卫星平台,星间链路接口由卫星平台实现
REL-017,REL-017,dependency,06_Traceability,Dependency,Dependency,IF-003,用户链路接口,BLK-002,卫星平台,用户链路接口由卫星平台提供
REL-018,REL-018,dependency,06_Traceability,Dependency,Dependency,IF-003,用户链路接口,BLK-004,用户终端,用户链路接口由用户终端实现
REL-019,REL-019,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-002,端到端时延约束,REQ-001,任务目标与场景定义,端到端时延约束用于细化用户体验指标需求
REL-020,REL-020,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网星座,REQ-001,任务目标与场景定义,预评审自动补充：模块满足需求
REL-021,REL-021,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网星座,REQ-002,星座构型与轨道要求,预评审自动补充：模块满足需求
REL-022,REL-022,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网星座,REQ-003,系统边界与外部接口要求,预评审自动补充：模块满足需求
REL-023,REL-023,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网星座,REQ-004,功能链与星上能力要求,预评审自动补充：模块满足需求
REL-024,REL-024,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网星座,REQ-005,行为流程与运行模式要求,预评审自动补充：模块满足需求
REL-025,REL-025,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网星座,REQ-006,约束与验收要求,预评审自动补充：模块满足需求
REL-026,REL-026,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,BLK-001,低轨卫星互联网星座,REQ-007,假设与不确定性说明,预评审自动补充：模块满足需求
REL-027,REL-027,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,IF-004,地面段-核心网接口,BLK-001,低轨卫星互联网星座,预评审自动补充：接口分配到模块
REL-028,REL-028,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-001,Walker星座构型约束,REQ-001,任务目标与场景定义,预评审自动补充：约束验证需求
REL-029,REL-029,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-002,端到端时延约束,REQ-001,任务目标与场景定义,预评审自动补充：约束验证需求
REL-030,REL-030,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-003,单星可用度约束,REQ-001,任务目标与场景定义,预评审自动补充：约束验证需求
REL-031,REL-031,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-004,频率资源约束,REQ-001,任务目标与场景定义,预评审自动补充：约束验证需求
