local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-002,卫星,系统包含100颗卫星
REL-002,REL-002,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-003,信关站,系统包含地面信关站
REL-003,REL-003,contains,06_Traceability,Association,CompositeAssociation,BLK-001,低轨卫星互联网系统,BLK-004,用户终端,系统支持多种用户终端
REL-004,REL-004,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-003,通信频段与链路类型,IF-001,星地用户链路接口,通信频段与链路需求对应星地用户链路接口
REL-005,REL-005,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-003,通信频段与链路类型,IF-002,星间链路接口,星间链路需求对应星间链路接口
REL-006,REL-006,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,系统边界与外部接口,IF-003,馈电链路接口,系统边界需求包含馈电链路接口
REL-007,REL-007,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-007,业务链路模式,ACT-001,用户终端到互联网的通信流程,业务链路模式需求由通信流程活动实现
REL-008,REL-008,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-004,系统容量与时延,CON-001,端到端时延约束,时延指标细化为约束块
REL-009,REL-009,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-008,卫星平台约束,CON-002,单星质量功耗约束,卫星平台约束细化为质量功耗约束块
REL-010,REL-010,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,UC-002,提供全球通信服务,REQ-004,系统容量与时延,提供全球通信服务用例满足容量与时延需求
REL-011,REL-011,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-003,管理星间路由,IF-002,星间链路接口,星间路由用例依赖星间链路接口
REL-012,REL-012,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,轨道高度与倾角,UC-001,配置星座参数,轨道需求驱动星座配置用例
DREL-UC-001,DREL-UC-001,association,06_Traceability,Dependency,Dependency,ACTOR-001,用户,UC-002,提供全球通信服务,用户发起通信，使用接入服务。
DREL-UC-002,DREL-UC-002,association,06_Traceability,Dependency,Dependency,ACTOR-002,星座运营者,UC-001,配置星座参数,运营者配置星座。
DREL-UC-003,DREL-UC-003,association,06_Traceability,Dependency,Dependency,ACTOR-002,星座运营者,UC-003,管理星间路由,运营者管理路由策略。
DREL-UC-004,DREL-UC-004,association,06_Traceability,Dependency,Dependency,ACTOR-003,互联网骨干网,UC-002,提供全球通信服务,系统需连接互联网骨干网完成全球接入。
DREL-UC-005,DREL-UC-005,association,06_Traceability,Dependency,Dependency,ACTOR-004,导航增强系统,UC-002,提供全球通信服务,系统可能利用导航增强信息提升服务。
DREL-UC-006,DREL-UC-006,association,06_Traceability,Dependency,Dependency,ACTOR-005,遥测遥控网,UC-001,配置星座参数,配置操作依赖遥测遥控网反馈。
DREL-UC-007,DREL-UC-007,include,06_Traceability,Dependency,Dependency,UC-002,提供全球通信服务,UC-003,管理星间路由,全球接入可能依赖星间路由实现广域覆盖。
DTRACE-UC-002-IBD-BLK-001,DTRACE-UC-002-IBD-BLK-001,realize,06_Traceability,Dependency,Dependency,UC-002,提供全球通信服务,IBD-BLK-001,卫星,该用例由空间段卫星、信关站、用户终端和运营支撑系统共同实现。
DTRACE-UC-002-IBD-BLK-002,DTRACE-UC-002-IBD-BLK-002,realize,06_Traceability,Dependency,Dependency,UC-002,提供全球通信服务,IBD-BLK-002,信关站,该用例由空间段卫星、信关站、用户终端和运营支撑系统共同实现。
DTRACE-UC-002-IBD-BLK-003,DTRACE-UC-002-IBD-BLK-003,realize,06_Traceability,Dependency,Dependency,UC-002,提供全球通信服务,IBD-BLK-003,用户终端,该用例由空间段卫星、信关站、用户终端和运营支撑系统共同实现。
DTRACE-UC-002-IBD-BLK-004,DTRACE-UC-002-IBD-BLK-004,realize,06_Traceability,Dependency,Dependency,UC-002,提供全球通信服务,IBD-BLK-004,运营支撑系统,该用例由空间段卫星、信关站、用户终端和运营支撑系统共同实现。
DTRACE-UC-001-IBD-BLK-001,DTRACE-UC-001-IBD-BLK-001,realize,06_Traceability,Dependency,Dependency,UC-001,配置星座参数,IBD-BLK-001,卫星,星座配置涉及卫星平台和运营支撑，信关站辅助。
DTRACE-UC-001-IBD-BLK-002,DTRACE-UC-001-IBD-BLK-002,realize,06_Traceability,Dependency,Dependency,UC-001,配置星座参数,IBD-BLK-002,信关站,星座配置涉及卫星平台和运营支撑，信关站辅助。
DTRACE-UC-001-IBD-BLK-004,DTRACE-UC-001-IBD-BLK-004,realize,06_Traceability,Dependency,Dependency,UC-001,配置星座参数,IBD-BLK-004,运营支撑系统,星座配置涉及卫星平台和运营支撑，信关站辅助。
DTRACE-UC-003-IBD-BLK-001,DTRACE-UC-003-IBD-BLK-001,realize,06_Traceability,Dependency,Dependency,UC-003,管理星间路由,IBD-BLK-001,卫星,星间路由主要依靠卫星上的星间链路终端和路由功能。
DTRACE-UC-003-IBD-BLK-002,DTRACE-UC-003-IBD-BLK-002,realize,06_Traceability,Dependency,Dependency,UC-003,管理星间路由,IBD-BLK-002,信关站,星间路由主要依靠卫星上的星间链路终端和路由功能。
DREL-IBD-001,DREL-IBD-001,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,卫星,IBD-IF-001,星地用户链路接口,卫星通过星地用户链路接口连接用户终端。
DREL-IBD-002,DREL-IBD-002,connector,06_Traceability,Dependency,Dependency,IBD-BLK-003,用户终端,IBD-IF-001,星地用户链路接口,用户终端连接到同一接口。
DREL-IBD-003,DREL-IBD-003,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,卫星,IBD-IF-002,星间链路接口,卫星之间通过星间链路接口互联。
DREL-IBD-004,DREL-IBD-004,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,卫星,IBD-IF-003,馈电链路接口,卫星与信关站通过馈电链路接口连接。
DREL-IBD-005,DREL-IBD-005,connector,06_Traceability,Dependency,Dependency,IBD-BLK-002,信关站,IBD-IF-003,馈电链路接口,信关站侧馈电接口。
DREL-IBD-006,DREL-IBD-006,connector,06_Traceability,Dependency,Dependency,IBD-BLK-002,信关站,IBD-IF-004,互联网接入接口,信关站连接到互联网接入接口。
DREL-IBD-007,DREL-IBD-007,connector,06_Traceability,Dependency,Dependency,IBD-BLK-004,运营支撑系统,IBD-IF-006,遥测遥控接口,运营支撑系统通过遥测遥控接口与TT&C网络相连。
DREL-IBD-008,DREL-IBD-008,connector,06_Traceability,Dependency,Dependency,IBD-BLK-001,卫星,IBD-IF-006,遥测遥控接口,卫星也需通过遥测遥控接口接收指令。
