local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-001,星座构型与覆盖,BLK-001,LEO卫星互联网星座系统,星座构型与覆盖需求由整个LEO卫星互联网星座系统满足。
REL-002,REL-002,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-002,用户链路性能,BLK-003,通信载荷,用户链路性能需求由通信载荷实现。
REL-003,REL-003,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-002,用户链路性能,BLK-005,用户终端,用户链路性能需求也依赖于用户终端能力。
REL-004,REL-004,verify,06_Traceability,Dependency,SysML::Requirements::Verify,REQ-003,系统容量与速率,UC-001,提供宽带互联网接入服务,系统容量与速率需求通过提供宽带互联网接入服务用例进行验证。
REL-005,REL-005,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-004,地面段架构,BLK-004,信关站,地面段架构需求由信关站满足。
REL-006,REL-006,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-004,地面段架构,BLK-006,地面核心网,地面段架构需求由地面核心网满足。
REL-007,REL-007,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-004,地面段架构,BLK-007,网络控制中心,地面段架构需求由网络控制中心满足。
REL-008,REL-008,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-005,星间链路可选能力,BLK-003,通信载荷,星间链路可选能力细化了通信载荷的可选配置。
REL-009,REL-009,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-006,星座部署与发射,BLK-001,LEO卫星互联网星座系统,星座部署与发射需求由星座系统整体满足。
REL-010,REL-010,verify,06_Traceability,Dependency,SysML::Requirements::Verify,REQ-007,可靠性与可用度,UC-001,提供宽带互联网接入服务,可靠性与可用度将通过接入服务用例进行端到端验证。
REL-011,REL-011,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-008,法规与空间安全约束,BLK-001,LEO卫星互联网星座系统,法规与空间安全约束应用于整个星座系统。
REL-012,REL-012,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-003,通信载荷,IF-001,用户链路接口,通信载荷包含用户链路接口的实现。
REL-013,REL-013,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-003,通信载荷,IF-002,馈电链路接口,通信载荷包含馈电链路接口的实现。
REL-014,REL-014,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-003,通信载荷,IF-003,星间链路接口（可选）,通信载荷包含星间链路接口（可选）的实现。
REL-015,REL-015,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-004,信关站,IF-002,馈电链路接口,信关站实现馈电链路接口的地面侧。
REL-016,REL-016,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-005,用户终端,IF-001,用户链路接口,用户终端实现用户链路接口的对侧。
REL-017,REL-017,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-006,地面核心网,IF-004,地面网络互联接口,地面核心网实现与外部网络的互联接口。
REL-018,REL-018,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-001,提供宽带互联网接入服务,ACT-001,用户通信业务流程,提高宽带互联网接入服务用例追踪到用户通信业务流程。
REL-019,REL-019,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-001,用户通信业务流程,BLK-002,单颗LEO卫星,用户通信业务流程由卫星执行。
REL-020,REL-020,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-001,用户通信业务流程,BLK-004,信关站,用户通信业务流程涉及信关站。
REL-021,REL-021,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-001,用户通信业务流程,BLK-006,地面核心网,用户通信业务流程涉及核心网路由。
REL-022,REL-022,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-002,波束切换与负载管理,BLK-007,网络控制中心,波束切换与负载管理活动由网络控制中心协调。
REL-023,REL-023,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-002,波束切换与负载管理,BLK-003,通信载荷,波束管理算法由通信载荷的星上处理单元执行。
REL-024,REL-024,refine,06_Traceability,Dependency,SysML::Requirements::Refine,CON-001,轨道维持与高度约束,REQ-001,星座构型与覆盖,轨道维持约束细化星座构型要求中的高度稳定性。
REL-025,REL-025,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,CON-002,卫星质量与功率包络,BLK-002,单颗LEO卫星,卫星质量与功率包络约束限定单颗卫星平台的设计。
REL-026,REL-026,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,CON-003,终端成本约束,BLK-005,用户终端,终端成本约束直接约束用户终端的设计与制造。
