local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座规模要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,空间段由100颗低轨卫星组成，实现宽带互联网覆盖。,REQ-001,candidate
REQ-002,轨道配置要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,轨道高度约550 km，倾角53°，采用Walker星座10个轨道面×10星/面，以兼顾中低纬度人口密集区覆盖。,REQ-001,candidate
REQ-003,星间链路要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,每颗卫星须配备星间链路，优先采用激光终端，支持同轨前后向及邻轨左右向全连接Mesh组网。,REQ-003,candidate
REQ-004,地面关口站规模要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,初期部署20-30个全球分布式地面关口站，连接至陆地光纤汇聚点。,REQ-004,candidate
REQ-005,单星下行容量要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单颗卫星下行通信容量不低于20 Gbps。,REQ-005,candidate
REQ-006,单星上行容量要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单颗卫星上行通信容量不低于5 Gbps。,REQ-006,candidate
REQ-007,星座总容量要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星座总通信容量初期不小于2 Tbps。,REQ-005,candidate
REQ-008,端到端时延要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,中低纬度典型场景端到端通信时延小于40 ms（星间路由条件下）。,REQ-008,candidate
REQ-009,系统可用度要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统可用度不低于99.9%，需考虑Ku频段雨衰等链路降级因素。,REQ-009,candidate
REQ-010,用户链路频段要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星与用户终端之间采用Ku频段，支持快速波束赋形与切换。,REQ-010,candidate
REQ-011,馈电链路频段要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星与地面关口站之间采用Ka频段馈电链路，独立于用户链路。,REQ-011,candidate
REQ-012,通信体制兼容性要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户链路协议栈需兼容3GPP NTN标准，支持现有4G/5G终端演进，并支持DVB-S2X/RCS2透明或再生双模。,REQ-012,candidate
REQ-013,星上处理能力要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星须具备星上再生处理和路由能力，实现星间数据交换和移动性管理。,REQ-003,candidate
REQ-014,切换性能要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星或波束切换引起的空口中断时间应小于50 ms，支持软切换。,REQ-008,candidate
REQ-015,终端类型支持要求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应支持固定终端、车载/船载动中通终端接入，并可扩展支持直连手机（IoT-NTN）。,REQ-015,candidate
BLK-001,LEO卫星互联网系统,Block,02_Blocks,Class,SysML::Blocks::Block,顶层系统，包含空间段卫星星座、地面关口站、用户终端、核心网及运营支撑系统，实现全球低轨宽带通信。,,candidate
BLK-002,卫星,Block,02_Blocks,Class,SysML::Blocks::Block,200-300 kg级小卫星平台，搭载通信载荷、激光星间终端、电推进、三轴稳定控制系统及太阳翼电源（约2 kW）。,,candidate
BLK-003,通信载荷,Block,02_Blocks,Class,SysML::Blocks::Block,包括Ku频段相控阵用户天线（4波束）、Ka频段馈电天线（2波束）、星上再生处理单元、路由交换模块。,,candidate
BLK-004,卫星平台,Block,02_Blocks,Class,SysML::Blocks::Block,提供姿轨控、推进（电推进）、电源（太阳翼+蓄电池）、热控、结构等基础服务。,,candidate
BLK-005,激光星间链路终端,Block,02_Blocks,Class,SysML::Blocks::Block,每星配备4套激光终端，用于同轨前后向和邻轨左右向星间链路。,,candidate
BLK-006,地面关口站,Block,02_Blocks,Class,SysML::Blocks::Block,全球分布20-30个信关站，包含Ka频段馈电天线、基带处理、路由交换及与核心网对接设备。,,candidate
