local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-002,覆盖与回访时间需求,REQ-005,轨道参数需求,覆盖与回访时间需求由顶层任务需求导出。
REL-002,REL-002,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-010,星间链路能力需求,REQ-001,通信星座顶层任务需求,星间链路能力需求由顶层任务需求导出。
REL-003,REL-003,derivereqt,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-011,ADS-B/AIS监测需求,REQ-001,通信星座顶层任务需求,ADS-B/AIS监测需求由顶层任务需求导出。
REL-004,REL-004,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-004,星座规模与备份需求,BLK-001,LEO通信星座系统,星座规模需求分配给顶层星座系统块。
REL-005,REL-005,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-006,卫星质量约束,BLK-002,卫星,卫星质量约束分配给卫星块。
REL-006,REL-006,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-007,平台功率约束,BLK-002,卫星,平台功率约束分配给卫星块。
REL-007,REL-007,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-010,星间链路能力需求,BLK-006,星间链路终端,星间链路需求分配给星间链路终端块。
REL-008,REL-008,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-011,ADS-B/AIS监测需求,BLK-007,ADS-B/AIS接收机,ADS-B/AIS监测需求分配给接收机块。
REL-009,REL-009,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO通信星座系统,BLK-002,卫星,星座系统包含多颗卫星。
REL-010,REL-010,contains,06_Traceability,Association,CompositeAssociation,BLK-001,LEO通信星座系统,BLK-011,地面段,星座系统包含地面段。
REL-011,REL-011,contains,06_Traceability,Association,CompositeAssociation,BLK-002,卫星,BLK-003,卫星平台,卫星包含卫星平台。
REL-012,REL-012,contains,06_Traceability,Association,CompositeAssociation,BLK-002,卫星,BLK-004,有效载荷,卫星包含有效载荷。
REL-013,REL-013,contains,06_Traceability,Association,CompositeAssociation,BLK-003,卫星平台,BLK-008,电源分系统,平台包含电源分系统。
REL-014,REL-014,contains,06_Traceability,Association,CompositeAssociation,BLK-003,卫星平台,BLK-009,姿轨控分系统,平台包含姿轨控分系统。
REL-015,REL-015,contains,06_Traceability,Association,CompositeAssociation,BLK-003,卫星平台,BLK-010,电推进系统,平台包含电推进系统。
REL-016,REL-016,contains,06_Traceability,Association,CompositeAssociation,BLK-004,有效载荷,BLK-005,通信载荷,有效载荷包含通信载荷。
REL-017,REL-017,contains,06_Traceability,Association,CompositeAssociation,BLK-004,有效载荷,BLK-006,星间链路终端,有效载荷包含星间链路终端。
REL-018,REL-018,contains,06_Traceability,Association,CompositeAssociation,BLK-004,有效载荷,BLK-007,ADS-B/AIS接收机,有效载荷包含ADS-B/AIS接收机。
REL-019,REL-019,contains,06_Traceability,Association,CompositeAssociation,BLK-011,地面段,BLK-012,关口站,地面段包含关口站。
REL-020,REL-020,contains,06_Traceability,Association,CompositeAssociation,BLK-011,地面段,BLK-013,测控与网络控制中心,地面段包含测控与网络控制中心。
REL-021,REL-021,contains,06_Traceability,Association,CompositeAssociation,BLK-011,地面段,BLK-014,应用数据中心,地面段包含应用数据中心。
REL-022,REL-022,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-001,Ka用户链路接口,BLK-005,通信载荷,Ka用户链路接口由通信载荷实现。
REL-023,REL-023,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-002,V馈电链路接口,BLK-005,通信载荷,V馈电链路接口由通信载荷实现。
REL-024,REL-024,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-003,S测控链路接口,BLK-003,卫星平台,S测控链路接口与卫星平台（通信/测控分系统）相关。
REL-025,REL-025,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-004,激光星间链路接口,BLK-006,星间链路终端,激光星间链路接口由ISL终端实现。
REL-026,REL-026,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-005,ADS-B射频接收接口,BLK-007,ADS-B/AIS接收机,ADS-B接收接口由ADS-B/AIS接收机实现。
REL-027,REL-027,trace,06_Traceability,Dependency,SysML::Requirements::Trace,IF-006,AIS射频接收接口,BLK-007,ADS-B/AIS接收机,AIS接收接口由ADS-B/AIS接收机实现。
REL-028,REL-028,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,UC-001,提供全球通信服务,REQ-001,通信星座顶层任务需求,提供全球通信服务用例满足顶层任务需求。
REL-029,REL-029,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,UC-002,监测航空与海事目标,REQ-011,ADS-B/AIS监测需求,监测航空与海事目标用例满足ADS-B/AIS监测需求。
REL-030,REL-030,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,UC-003,部署与构建星座,REQ-004,星座规模与备份需求,部署与构建星座用例满足星座规模与构型需求。
REL-031,REL-031,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,UC-005,执行轨道维持与离轨,REQ-009,空间碎片减缓需求,轨道维持与离轨用例满足空间碎片减缓需求。
REL-032,REL-032,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-001,端到端通信服务流程,UC-001,提供全球通信服务,端到端通信服务流程细化了提供全球通信服务用例。
REL-033,REL-033,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-002,星座部署与相位展开流程,UC-003,部署与构建星座,星座部署流程细化了部署与构建星座用例。
REL-034,REL-034,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-003,故障星替换与重构流程,UC-004,在轨维护与故障恢复,故障星替换流程细化了在轨维护与故障恢复用例。
REL-035,REL-035,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-001,卫星质量预算约束块,REQ-006,卫星质量约束,质量预算约束块用于验证卫星质量约束。
REL-036,REL-036,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-002,功率预算约束块,REQ-007,平台功率约束,功率预算约束块用于验证平台功率约束。
REL-037,REL-037,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-003,轨道高度与倾角约束块,REQ-005,轨道参数需求,轨道高度与倾角约束块用于验证轨道参数需求。
REL-038,REL-038,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-004,总成本约束块,REQ-008,成本约束,总成本约束块用于验证成本约束。
REL-039,REL-039,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-005,离轨时间约束块,REQ-009,空间碎片减缓需求,离轨时间约束块用于验证空间碎片减缓需求。
