local_id,name,type,metaclass,stereotype,documentation,source_requirement,status
REQ-001,SAR总体任务目标,Requirement,Class,SysML::Requirements::Requirement,形成满足观测区域、成像质量、响应时效和平台适配约束的SAR雷达总体方案。,REQ-001,candidate
REQ-002,成像模式与任务覆盖,Requirement,Class,SysML::Requirements::Requirement,系统应支持条带、聚束和扫描成像模式，并覆盖指定观测区域与任务剖面。,REQ-002,candidate
REQ-003,分辨率与测绘带宽,Requirement,Class,SysML::Requirements::Requirement,系统应满足距离向、方位向分辨率、测绘带宽、重访周期和定位精度指标。,REQ-003,candidate
REQ-004,射频链路与天线性能,Requirement,Class,SysML::Requirements::Requirement,射频前端、功放、低噪声接收和天线阵面应满足频段、带宽、增益、极化和旁瓣约束。,REQ-004,candidate
REQ-005,波形产生与时序控制,Requirement,Class,SysML::Requirements::Requirement,系统应支持脉冲压缩波形、PRF规划、同步时钟、收发切换和定标时序。,REQ-005,candidate
REQ-006,回波采集与成像处理,Requirement,Class,SysML::Requirements::Requirement,系统应完成回波采样、量化、缓存、运动补偿、聚焦处理和图像产品生成。,REQ-006,candidate
REQ-007,数据传输与产品分发,Requirement,Class,SysML::Requirements::Requirement,系统应支持原始回波、快视图像和标准产品的数据管理、压缩、存储与下传。,REQ-007,candidate
REQ-008,功耗热控与可靠性,Requirement,Class,SysML::Requirements::Requirement,系统应满足峰值功耗、平均功耗、热耗散、工作占空比、冗余和故障检测要求。,REQ-008,candidate
REQ-009,标校与质量评估,Requirement,Class,SysML::Requirements::Requirement,系统应支持内定标、外定标、图像质量评价、几何校正和辐射校正。,REQ-009,candidate
REQ-010,模型一致性与可追溯,Requirement,Class,SysML::Requirements::Requirement,SysML工程应保证SAR任务、结构、行为、接口和约束之间可追溯，并能同步到MagicDraw。,REQ-010,candidate
BLK-001,SAR雷达载荷系统,Block,Class,SysML::Blocks::Block,系统级根模块，来自对话输入：在吗 已收到问题：在吗。当前演示系统会结合 RAG、需求分析、SysML 建模和校验工具辅助处理。 帮我设计一个100颗低轨卫星组成的互联网总体方案 针对“100颗低轨卫星组成的互联网星座”需求，我结合系统建模工具和RAG外部知识（参考St,,candidate
BLK-002,雷达天线子系统,Block,Class,SysML::Blocks::Block,承担波束指向、极化控制、阵面校准和射频能量辐射接收。,,candidate
BLK-003,射频收发子系统,Block,Class,SysML::Blocks::Block,包含发射功放、接收低噪声放大、上下变频、滤波和收发保护。,,candidate
BLK-004,波形与频率源子系统,Block,Class,SysML::Blocks::Block,产生线性调频等SAR波形，提供同步时钟、频率源和PRF控制。,,candidate
BLK-005,数字采集与处理子系统,Block,Class,SysML::Blocks::Block,完成ADC采样、缓存、预处理、成像聚焦、压缩和产品生成。,,candidate
BLK-006,任务规划与模式控制,Block,Class,SysML::Blocks::Block,根据任务区域、模式、轨迹和资源约束生成观测计划与控制序列。,,candidate
BLK-007,平台接口与姿轨支撑,Block,Class,SysML::Blocks::Block,连接卫星或机载平台，接收姿态、轨道、时间同步和供配电资源。,,candidate
BLK-008,数传与存储单元,Block,Class,SysML::Blocks::Block,管理原始回波、快视图像、产品文件和下传链路。,,candidate
BLK-009,标校与质量评估单元,Block,Class,SysML::Blocks::Block,执行定标、几何校正、辐射校正和图像质量指标评估。,,candidate
BLK-010,供电热控与健康管理,Block,Class,SysML::Blocks::Block,管理峰值功耗、热耗散、占空比、冗余切换和故障告警。,,candidate
UC-001,生成SAR总体方案,UseCase,UseCase,,总体设计师输入任务指标后生成可评审的SAR雷达总体方案。,,candidate
UC-002,执行成像任务规划,UseCase,UseCase,,根据观测区域、成像模式和平台轨迹生成任务计划。,,candidate
UC-003,完成回波采集与处理,UseCase,UseCase,,系统按时序发射波形、接收回波并生成SAR图像产品。,,candidate
UC-004,完成标校与质量评估,UseCase,UseCase,,对SAR产品执行定标、校正和质量指标评估。,,candidate
UC-005,同步MagicDraw工程,UseCase,UseCase,,AI生成SysML文本和结构后通过Bridge推送到MagicDraw并回显结果。,,candidate
IF-001,平台姿轨时间接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,接收姿态、轨道、时间同步、模式控制和任务计划数据。,,candidate
IF-002,射频天线接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接天线阵面与射频收发链路，承载发射、接收、校准和保护信号。,,candidate
IF-003,高速采样数据接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接接收链路与数字处理单元，承载高码率原始回波数据。,,candidate
IF-004,图像产品数传接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接处理单元、存储单元和数传链路，承载图像产品和元数据。,,candidate
IF-005,供电热控接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接平台供配电和热控资源，承载功耗、温度和健康状态信息。,,candidate
IF-006,MagicDraw Bridge接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,承载SysML工程交换包、导入状态、创建元素数和关系数回传。,,candidate
ACT-001,需求理解与SAR建模流程,Activity,Activity,,AI解析对话、抽取SAR任务指标、生成候选SysML工程骨架。,,candidate
ACT-002,成像任务规划流程,Activity,Activity,,选择成像模式、计算观测窗口、规划PRF和资源占用。,,candidate
ACT-003,收发与回波采集流程,Activity,Activity,,执行波形发射、回波接收、采样缓存和时序同步。,,candidate
ACT-004,成像处理与产品生成流程,Activity,Activity,,执行运动补偿、距离压缩、方位聚焦、图像校正和产品封装。,,candidate
ACT-005,标校质量闭环流程,Activity,Activity,,执行定标、质量评估、异常识别和参数修正建议。,,candidate
CON-001,成像性能约束,ConstraintBlock,Class,SysML::ConstraintBlocks::ConstraintBlock,距离向分辨率、方位向分辨率、测绘带宽、信噪比和定位精度满足任务指标。,,candidate
CON-002,射频链路约束,ConstraintBlock,Class,SysML::ConstraintBlocks::ConstraintBlock,频段、带宽、峰值功率、天线增益、噪声系数、PRF和占空比满足链路预算。,,candidate
CON-003,资源与热控约束,ConstraintBlock,Class,SysML::ConstraintBlocks::ConstraintBlock,峰值功耗、平均功耗、热耗散、存储容量和下传数据率满足平台资源限制。,,candidate
