local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-001,全球宽带通信服务,UC-001,提供全球宽带接入,全球宽带通信服务需求由提供全球宽带接入用例实现
REL-002,REL-002,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-005,星座规模,BLK-001,空间段,空间段满足100颗卫星的星座规模要求
REL-003,REL-003,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-006,轨道构型,BLK-001,空间段,空间段满足轨道构型需求
REL-004,REL-004,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-007,卫星平台基本约束,BLK-003,卫星平台,卫星平台满足平台基本约束
REL-005,REL-005,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-008,通信载荷配置,BLK-004,通信载荷,通信载荷满足配置要求
REL-006,REL-006,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-009,地面段组成,BLK-008,地面段,地面段满足组成要求
REL-007,REL-007,satisfy,06_Traceability,Dependency,SysML::Requirements::Satisfy,REQ-010,用户终端类型,BLK-013,用户终端设备,用户终端设备满足终端类型需求
REL-008,REL-008,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-011,单星故障覆盖冗余,UC-004,处理卫星故障与覆盖恢复,单星故障覆盖冗余需求由故障处理与覆盖恢复用例实现
REL-009,REL-009,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-012,成本上限,CON-001,成本约束,成本上限需求细化为成本约束
REL-010,REL-010,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-013,频率规则合规,CON-003,ITU频率协调约束,频率规则合规需求由ITU频率协调约束细化
REL-011,REL-011,refine,06_Traceability,Dependency,SysML::Requirements::Refine,REQ-014,星座覆盖验收条件,CON-004,覆盖验收约束,覆盖验收条件细化为覆盖验收约束
REL-012,REL-012,contains,06_Traceability,Association,CompositeAssociation,BLK-001,空间段,BLK-002,单颗卫星,空间段由多颗单颗卫星组成
REL-013,REL-013,contains,06_Traceability,Association,CompositeAssociation,BLK-002,单颗卫星,BLK-003,卫星平台,单颗卫星包含卫星平台
REL-014,REL-014,contains,06_Traceability,Association,CompositeAssociation,BLK-002,单颗卫星,BLK-004,通信载荷,单颗卫星包含通信载荷
REL-015,REL-015,contains,06_Traceability,Association,CompositeAssociation,BLK-004,通信载荷,BLK-005,用户链路天线（多波束相控阵）,通信载荷包含用户链路天线
REL-016,REL-016,contains,06_Traceability,Association,CompositeAssociation,BLK-004,通信载荷,BLK-006,星间链路终端（激光）,通信载荷包含星间链路终端
REL-017,REL-017,contains,06_Traceability,Association,CompositeAssociation,BLK-004,通信载荷,BLK-007,馈电链路天线,通信载荷包含馈电链路天线
REL-018,REL-018,contains,06_Traceability,Association,CompositeAssociation,BLK-008,地面段,BLK-009,信关站,地面段包含信关站
REL-019,REL-019,contains,06_Traceability,Association,CompositeAssociation,BLK-008,地面段,BLK-010,测控站,地面段包含测控站
REL-020,REL-020,contains,06_Traceability,Association,CompositeAssociation,BLK-008,地面段,BLK-011,运控中心,地面段包含运控中心
REL-021,REL-021,contains,06_Traceability,Association,CompositeAssociation,BLK-012,用户段,BLK-013,用户终端设备,用户段包含用户终端设备
REL-022,REL-022,dependency,06_Traceability,Dependency,Dependency,IF-001,用户链路无线接口,BLK-005,用户链路天线（多波束相控阵）,用户链路无线接口分配给用户链路天线
REL-023,REL-023,dependency,06_Traceability,Dependency,Dependency,IF-001,用户链路无线接口,BLK-013,用户终端设备,用户链路无线接口由用户终端设备实现
REL-024,REL-024,dependency,06_Traceability,Dependency,Dependency,IF-002,馈电链路无线接口,BLK-007,馈电链路天线,馈电链路无线接口分配给馈电链路天线
REL-025,REL-025,dependency,06_Traceability,Dependency,Dependency,IF-002,馈电链路无线接口,BLK-009,信关站,馈电链路无线接口由信关站实现
REL-026,REL-026,dependency,06_Traceability,Dependency,Dependency,IF-003,测控链路无线接口,BLK-002,单颗卫星,测控链路无线接口分配给单颗卫星（TT&C载荷）
REL-027,REL-027,dependency,06_Traceability,Dependency,Dependency,IF-003,测控链路无线接口,BLK-010,测控站,测控链路无线接口由测控站实现
REL-028,REL-028,dependency,06_Traceability,Dependency,Dependency,IF-004,星间激光链路接口,BLK-006,星间链路终端（激光）,星间激光链路接口分配给星间链路终端
REL-029,REL-029,dependency,06_Traceability,Dependency,Dependency,IF-005,地面网络接口,BLK-009,信关站,地面网络接口由信关站提供
REL-030,REL-030,dependency,06_Traceability,Dependency,Dependency,IF-006,用户终端网络接口,BLK-013,用户终端设备,用户终端网络接口由用户终端设备提供
REL-031,REL-031,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-001,卫星入轨与部署流程,BLK-002,单颗卫星,卫星入轨与部署流程分配给单颗卫星
REL-032,REL-032,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-002,在轨测试与激活流程,BLK-002,单颗卫星,在轨测试与激活流程分配给单颗卫星
REL-033,REL-033,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-003,正常服务与路由管理流程,BLK-001,空间段,正常服务与路由管理流程分配给空间段和地面段协作
REL-034,REL-034,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,ACT-004,故障处理与覆盖恢复流程,BLK-001,空间段,故障处理与覆盖恢复流程分配给空间段和地面段
REL-035,REL-035,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-005,部署卫星入轨与组网,ACT-001,卫星入轨与部署流程,部署卫星入轨与组网用例包含入轨与部署活动
REL-036,REL-036,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-003,建立与维护用户通信链路,ACT-003,正常服务与路由管理流程,建立与维护用户通信链路用例体现于正常服务与路由管理流程
REL-037,REL-037,trace,06_Traceability,Dependency,SysML::Requirements::Trace,UC-004,处理卫星故障与覆盖恢复,ACT-004,故障处理与覆盖恢复流程,故障处理与覆盖恢复用例包含对应的故障处理活动
REL-038,REL-038,verify,06_Traceability,Dependency,SysML::Requirements::Verify,CON-002,空间碎片减缓约束,UC-006,卫星离轨处置,空间碎片减缓约束通过卫星离轨处置用例验证合规性
