local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,通信星座顶层任务需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应提供全球宽带窄带物联通信服务，同时具备星基ADS-B/AIS监测能力。,REQ-001,accepted
REQ-002,覆盖与回访时间需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,对地覆盖范围±60°纬度，单用户最小通信仰角10°，物联网服务回访时间小于15分钟，宽带服务需满足实时要求。,REQ-001,accepted
REQ-003,卫星寿命需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星在轨服务寿命应达到5至7年。,REQ-001,accepted
REQ-004,星座规模与备份需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统由100颗卫星组成（含在轨备份星），保证网络可用性。,REQ-001,accepted
REQ-005,轨道参数需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,采用低地球轨道（LEO），高度550-650 km，倾角约55°，可采用Walker Delta构型。,REQ-001,accepted
REQ-006,卫星质量约束,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星湿质量不得超过300 kg，以满足一箭多星发射的运载能力限制。,REQ-006,accepted
REQ-007,平台功率约束,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星平台峰值功耗应不大于600 W，太阳翼必须提供充裕的初始功率保障。,REQ-007,accepted
REQ-008,成本约束,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,单星成本应低于500万美元，整个星座制造与发射总预算控制在8亿美元以内。,REQ-008,accepted
REQ-009,空间碎片减缓需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,必须满足25年离轨规则，任务结束后通过自然衰减与电推进加速，确保离轨时间小于5年。,REQ-009,accepted
REQ-010,星间链路能力需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星座中部分卫星应配备激光星间链路终端，实现骨干互联并减少对关口站的依赖。,REQ-001,accepted
REQ-011,ADS-B/AIS监测需求,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,卫星应具备接收1090 MHz ADS-B信号和162 MHz AIS信号的能力，用于航空与海事监视。,REQ-001,accepted
BLK-001,LEO通信星座系统,Block,02_Structure,Class,SysML::Blocks::Block,整个百颗低轨卫星星座及其配套地面系统的最高层级块。,,accepted
BLK-002,卫星,Block,02_Structure,Class,SysML::Blocks::Block,星座中的单颗卫星，包括平台与有效载荷。,,accepted
BLK-003,卫星平台,Block,02_Structure,Class,SysML::Blocks::Block,提供结构、电源、姿控、推进、热控和星务管理等基础服务。,,accepted
BLK-004,有效载荷,Block,02_Structure,Class,SysML::Blocks::Block,卫星上完成任务功能的设备集合，包含通信载荷、ISL终端和ADS-B/AIS接收机。,,accepted
BLK-005,通信载荷,Block,02_Structure,Class,SysML::Blocks::Block,采用软件定义无线电架构，支持Ka频段用户链路（相控阵）多波束和V频段馈电链路，兼容DVB-S2X/5G NTN协议。,,accepted
BLK-006,星间链路终端,Block,02_Structure,Class,SysML::Blocks::Block,激光通信终端，提供50-100 Mbps星间链路，用于骨干互联。,,accepted
BLK-007,ADS-B/AIS接收机,Block,02_Structure,Class,SysML::Blocks::Block,接收1090 MHz ADS-B和162 MHz AIS信号，实现航空和海事监视。,,accepted
BLK-008,电源分系统,Block,02_Structure,Class,SysML::Blocks::Block,包含两翼可展开GaAs三结太阳翼（初期输出>1 kW）和锂离子蓄电池组（30 Ah）。,,accepted
