local_id,name,type,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,Dependency,SysML::Requirements::Trace,REQ-001,低轨卫星互联网总体方案生成,UC-001,低轨卫星互联网总体方案生成,需求追溯到用例
REL-002,REL-002,allocate,Dependency,SysML::Allocations::Allocate,UC-001,低轨卫星互联网总体方案生成,BLK-001,宽带通信系统,用例分配到系统模块
REL-003,REL-003,trace,Dependency,SysML::Requirements::Trace,UC-001,低轨卫星互联网总体方案生成,IF-001,低轨卫星互联网总体方案生成接口,用例追溯到接口
REL-004,REL-004,connect,Dependency,SysML::Requirements::Trace,IF-001,低轨卫星互联网总体方案生成接口,BLK-001,宽带通信系统,接口关联到系统模块
REL-005,REL-005,refine,Dependency,SysML::Requirements::Trace,UC-001,低轨卫星互联网总体方案生成,ACT-001,低轨卫星互联网总体方案生成流程,用例细化为活动流程
REL-006,REL-006,trace,Dependency,SysML::Requirements::Trace,REQ-002,用户接入状态实时监测与链路质量告警,UC-002,用户接入状态实时监测与链路质量告警,需求追溯到用例
REL-007,REL-007,allocate,Dependency,SysML::Allocations::Allocate,UC-002,用户接入状态实时监测与链路质量告警,BLK-001,宽带通信系统,用例分配到系统模块
REL-008,REL-008,trace,Dependency,SysML::Requirements::Trace,UC-002,用户接入状态实时监测与链路质量告警,IF-002,用户接入状态实时监测与链路质量告警接口,用例追溯到接口
REL-009,REL-009,connect,Dependency,SysML::Requirements::Trace,IF-002,用户接入状态实时监测与链路质量告警接口,BLK-001,宽带通信系统,接口关联到系统模块
REL-010,REL-010,refine,Dependency,SysML::Requirements::Trace,UC-002,用户接入状态实时监测与链路质量告警,ACT-002,用户接入状态实时监测与链路质量告警流程,用例细化为活动流程
REL-011,REL-011,trace,Dependency,SysML::Requirements::Trace,REQ-003,基于业务优先级的资源调度与传输保障,UC-003,基于业务优先级的资源调度与传输保障,需求追溯到用例
REL-012,REL-012,allocate,Dependency,SysML::Allocations::Allocate,UC-003,基于业务优先级的资源调度与传输保障,BLK-001,宽带通信系统,用例分配到系统模块
REL-013,REL-013,trace,Dependency,SysML::Requirements::Trace,UC-003,基于业务优先级的资源调度与传输保障,IF-003,基于业务优先级的资源调度与传输保障接口,用例追溯到接口
REL-014,REL-014,connect,Dependency,SysML::Requirements::Trace,IF-003,基于业务优先级的资源调度与传输保障接口,BLK-001,宽带通信系统,接口关联到系统模块
REL-015,REL-015,refine,Dependency,SysML::Requirements::Trace,UC-003,基于业务优先级的资源调度与传输保障,ACT-003,基于业务优先级的资源调度与传输保障流程,用例细化为活动流程
REL-016,REL-016,trace,Dependency,SysML::Requirements::Trace,REQ-004,外部网络管理系统数据接口,UC-004,外部网络管理系统数据接口,需求追溯到用例
REL-017,REL-017,allocate,Dependency,SysML::Allocations::Allocate,UC-004,外部网络管理系统数据接口,BLK-001,宽带通信系统,用例分配到系统模块
REL-018,REL-018,trace,Dependency,SysML::Requirements::Trace,UC-004,外部网络管理系统数据接口,IF-004,外部网络管理系统数据接口接口,用例追溯到接口
REL-019,REL-019,connect,Dependency,SysML::Requirements::Trace,IF-004,外部网络管理系统数据接口接口,BLK-001,宽带通信系统,接口关联到系统模块
REL-020,REL-020,refine,Dependency,SysML::Requirements::Trace,UC-004,外部网络管理系统数据接口,ACT-004,外部网络管理系统数据接口流程,用例细化为活动流程
REL-021,REL-021,trace,Dependency,SysML::Requirements::Trace,REQ-005,核心业务流程建模与追溯分析,UC-005,核心业务流程建模与追溯分析,需求追溯到用例
REL-022,REL-022,allocate,Dependency,SysML::Allocations::Allocate,UC-005,核心业务流程建模与追溯分析,BLK-001,宽带通信系统,用例分配到系统模块
REL-023,REL-023,trace,Dependency,SysML::Requirements::Trace,UC-005,核心业务流程建模与追溯分析,IF-005,核心业务流程建模与追溯分析接口,用例追溯到接口
REL-024,REL-024,connect,Dependency,SysML::Requirements::Trace,IF-005,核心业务流程建模与追溯分析接口,BLK-001,宽带通信系统,接口关联到系统模块
REL-025,REL-025,refine,Dependency,SysML::Requirements::Trace,UC-005,核心业务流程建模与追溯分析,ACT-005,核心业务流程建模与追溯分析流程,用例细化为活动流程
