local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,星座任务与服务目标,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,形成面向宽带互联网接入的低轨星座总体方案，覆盖业务目标、服务区域、容量、时延、可靠性和运维目标。,REQ-001,candidate
REQ-002,系统边界与外部参与方,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统边界应明确空间段、地面段、用户段、外部互联网/核心网、监管频谱环境和MagicDraw工程交付边界。,REQ-002,candidate
REQ-003,100颗卫星星座规模,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星座基线规模为100颗低轨通信卫星，并支持按轨道面、相位和备份策略开展构型设计。,REQ-003,candidate
REQ-004,轨道覆盖与服务连续性,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,星座应支持目标服务区连续覆盖、可见性计算、切换策略、覆盖盲区识别和服务连续性评估。,REQ-004,candidate
REQ-005,用户链路容量与服务质量,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户链路应满足宽带吞吐、波束调度、QoS等级、链路预算、拥塞控制和业务保持要求。,REQ-005,candidate
REQ-006,馈电链路与网关接入,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,地面段应提供馈电网关站接入、回传链路、站间协同、网关选择和核心网互联能力。,REQ-006,candidate
REQ-007,星间链路与空间路由,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,空间段应支持星间链路组网、路由更新、链路状态监测、拥塞绕行和故障重构。,REQ-007,candidate
REQ-008,用户终端接入与鉴权,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,用户段应支持终端注册、认证鉴权、卫星选择、会话建立、接入状态监测和业务保持。,REQ-008,candidate
REQ-009,网络管理与资源调度,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,网络运营控制中心应根据业务优先级、波束占用、频谱、网关和星间链路状态执行动态资源调度。,REQ-009,candidate
REQ-010,遥测遥控与在轨运维,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,任务运控中心应支持遥测采集、遥控指令、健康评估、运行计划、星历维护和运维闭环。,REQ-010,candidate
REQ-011,故障处置与安全隔离,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应识别卫星、载荷、链路、网关和网络异常，并支持告警分级、隔离、重构和恢复确认。,REQ-011,candidate
REQ-012,信息安全与业务隔离,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应支持终端认证、密钥管理、业务隔离、控制面保护和跨段数据安全策略。,REQ-012,candidate
REQ-013,频谱合规与电磁兼容,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,系统应满足频率使用、干扰协调、发射功率、旁瓣和电磁兼容约束，并保留监管符合性追溯。,REQ-013,candidate
REQ-014,模型一致性与MagicDraw交付,Requirement,01_Requirements,Class,SysML::Requirements::Requirement,SysML工程应保证需求、结构、行为、接口、约束和追溯关系一致，并能通过Bridge同步到MagicDraw。,REQ-014,candidate
BLK-001,低轨宽带卫星互联网系统,Block,02_Structure,Class,SysML::Blocks::Block,系统级根模块，来自对话输入：在吗 在的。我可以先陪你把100颗低轨宽带卫星互联网系统的总体需求、系统边界、功能链路、接口、行为流程和约束条件逐步梳理清楚；你确认后再生成可推送到MagicDraw的SysML工程。 你是什么模型 我是DeepSeek最新版模型，由深度求,,candidate
BLK-002,空间段,Block,02_Structure,Class,SysML::Blocks::Block,由100颗低轨通信卫星、星座构型、通信载荷、星间链路终端和卫星平台组成。,,candidate
BLK-003,100颗低轨通信星座,Block,02_Structure,Class,SysML::Blocks::Block,表示由100颗卫星组成的星座总体构型，承载轨道面、相位、覆盖和备份设计。,,candidate
BLK-004,轨道面与星座构型,Block,02_Structure,Class,SysML::Blocks::Block,定义轨道壳层、轨道面数量、面内卫星数、相位关系、星下点轨迹和覆盖几何。,,candidate
BLK-005,低轨通信卫星,Block,02_Structure,Class,SysML::Blocks::Block,单星系统，承担载荷承载、星上处理、星间互联、平台资源和遥测遥控功能。,,candidate
BLK-006,宽带通信载荷,Block,02_Structure,Class,SysML::Blocks::Block,负责用户波束、馈电波束、频率资源、业务数据转发和链路质量管理。,,candidate
BLK-007,星上数字处理器,Block,02_Structure,Class,SysML::Blocks::Block,完成星上交换、缓存、协议处理、QoS标记、路由表下发和业务转发。,,candidate
BLK-008,用户服务链路天线,Block,02_Structure,Class,SysML::Blocks::Block,面向用户终端形成可调波束，支撑接入、波束切换和链路质量保持。,,candidate
BLK-009,馈电链路终端,Block,02_Structure,Class,SysML::Blocks::Block,连接卫星与馈电网关站，承载回传数据、网关控制和链路状态上报。,,candidate
BLK-010,星间链路终端,Block,02_Structure,Class,SysML::Blocks::Block,提供卫星间数据交换、空间路由转发、链路状态上报和故障绕行能力。,,candidate
