local_id,name,type,package,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-005,全球覆盖含极地要求,UC-001,提供全球互联网接入服务,全球覆盖需求主要由提供全球互联网接入服务用例实现。
REL-002,REL-002,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-006,多重覆盖要求,UC-001,提供全球互联网接入服务,多重覆盖需求支撑服务用例保证全球任意点连续性。
REL-003,REL-003,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-007,星间链路要求,UC-002,星间路由与组网,星间链路需求驱动星间路由与组网用例。
REL-004,REL-004,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-010,地面信关站数量与分布要求,UC-003,馈电链路落地与地面网络对接,信关站数量与分布需求影响馈电链路落地用例。
REL-005,REL-005,trace,06_Traceability,Dependency,SysML::Requirements::Trace,REQ-014,发射部署方式要求,UC-004,星座发射部署与在轨维护,发射部署需求对准星座部署与维护用例。
REL-006,REL-006,verify,06_Traceability,Dependency,SysML::Requirements::Verify,REQ-013,网络可用度要求,CON-001,网络可用度约束,可用度约束验证网络可用度不低于99.9%的需求。
REL-007,REL-007,verify,06_Traceability,Dependency,SysML::Requirements::Verify,REQ-012,用户单向时延要求,CON-002,用户单向时延约束,时延约束验证用户单向时延需求。
REL-008,REL-008,verify,06_Traceability,Dependency,SysML::Requirements::Verify,REQ-002,轨道高度要求,CON-003,轨道高度范围约束,轨道高度约束验证高度范围需求。
REL-009,REL-009,verify,06_Traceability,Dependency,SysML::Requirements::Verify,REQ-003,轨道倾角要求,CON-004,轨道倾角范围约束,倾角约束验证轨道倾角需求。
REL-010,REL-010,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-005,用户链路子系统,IF-001,用户链路射频接口,用户链路子系统实现用户链路射频接口。
REL-011,REL-011,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-006,馈电链路子系统,IF-002,馈电链路射频接口,馈电链路子系统实现馈电链路射频接口。
REL-012,REL-012,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-004,星间链路子系统,IF-003,星间激光链路接口,星间链路子系统实现星间激光链路接口。
REL-013,REL-013,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,BLK-003,地面段,IF-004,地面核心网接口,地面段负责实现地面核心网接口。
REL-014,REL-014,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-001,用户终端接入与端到端通信流程,UC-001,提供全球互联网接入服务,用户通信流程细化全球互联网接入用例。
REL-015,REL-015,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-002,星上路由决策与交换流程,UC-002,星间路由与组网,星上路由流程细化星间路由与组网用例。
REL-016,REL-016,refine,06_Traceability,Dependency,SysML::Requirements::Refine,ACT-003,信关站切换与地面落地流程,UC-003,馈电链路落地与地面网络对接,信关站切换流程细化馈电链路落地用例。
REL-017,REL-017,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-001,星座规模要求,BLK-001,卫星互联网星座系统,星座规模需求分配给顶层系统块。
REL-018,REL-018,allocate,06_Traceability,Dependency,SysML::Allocations::Allocate,REQ-011,系统总吞吐量要求,BLK-001,卫星互联网星座系统,总吞吐量需求分配给星座系统。
