local_id,name,type,package,metaclass,stereotype,documentation,source_requirement,status
REQ-001,工作频段支持,Requirement,01_需求,Class,SysML::Requirements::Requirement,宽带载荷应支持Ku/Ka频段用户链路及Ka/Q/V频段馈电链路，并在多波束间实现频率复用。对应原REQ-BP-001。,REQ-001,candidate
REQ-002,宽带吞吐能力,Requirement,01_需求,Class,SysML::Requirements::Requirement,单星用户侧有效转发吞吐量不低于20 Gbps，网关馈电链路峰值吞吐量不低于40 Gbps，支持按业务优先级进行带宽调度。对应原REQ-BP-002。,REQ-002,candidate
REQ-003,星间链路能力,Requirement,01_需求,Class,SysML::Requirements::Requirement,与星间链路终端协同，星间数据转发能力不低于10 Gbps，并具备升级至50 Gbps的接口余量。对应原REQ-BP-003。,REQ-003,candidate
REQ-004,星上处理与路由,Requirement,01_需求,Class,SysML::Requirements::Requirement,支持星上数字透明转发、波束间交换、业务分类、路由表更新和网络管理指令下发。对应原REQ-BP-004。,REQ-004,candidate
REQ-005,低时延服务,Requirement,01_需求,Class,SysML::Requirements::Requirement,星上处理单跳时延应满足规定值，为保障端到端时延≤80ms的星座目标提供支撑。具体数值待确认，暂按≤10ms假设。对应原REQ-BP-005。,REQ-005,candidate
REQ-006,高可靠性,Requirement,01_需求,Class,SysML::Requirements::Requirement,满足特定可靠度与寿命要求。具体指标（如任务可靠度R≥0.995、设计寿命≥5年）待确认，暂按典型LEO载荷假设。对应原REQ-BP-006。,REQ-006,candidate
REQ-007,遥测与健康管理,Requirement,01_需求,Class,SysML::Requirements::Requirement,能够上报功率、温度、误码率、信道状态等遥测参数，支持载荷健康监测与故障预警。对应原REQ-BP-007。,REQ-007,candidate
REQ-008,在轨可重构,Requirement,01_需求,Class,SysML::Requirements::Requirement,载荷应支持在轨更新波束配置、路由策略、转发参数和业务优先级策略，更新过程应具备回滚机制。对应原REQ-BP-008。,REQ-008,candidate
REQ-009,星座规模与轨道,Requirement,01_需求,Class,SysML::Requirements::Requirement,系统由100颗低轨卫星组成，采用Walker构型，10个轨道面每面10星，轨道高度约1100km，倾角约53°（可调）。源自总体方案讨论。,REQ-009,candidate
REQ-010,全球覆盖能力,Requirement,01_需求,Class,SysML::Requirements::Requirement,星座应实现全球覆盖（含极区），保证用户最小通信仰角不低于10°，覆盖连续性满足系统可用度要求。具体覆盖模型待仿真确认。,REQ-010,candidate
REQ-011,并发用户容量,Requirement,01_需求,Class,SysML::Requirements::Requirement,系统支持不少于10000个并发宽带用户，提供固定、车载、船载、机载和便携式终端的接入。源自总体方案。,REQ-011,candidate
REQ-012,端到端时延,Requirement,01_需求,Class,SysML::Requirements::Requirement,从用户终端到地面网络的端到端单向通信时延不超过80ms，包含星上处理、馈电和地面网络传输时间。源自总体方案。,REQ-012,candidate
REQ-013,运维管理能力,Requirement,01_需求,Class,SysML::Requirements::Requirement,提供星座健康监测、故障隔离、业务降级和恢复能力，支持远程配置和软件更新。综合载荷需求和星座总体要求。,REQ-013,candidate
