local_id,name,type,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-001,REL-001,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-002,雷达天线子系统,系统包含雷达天线子系统
REL-002,REL-002,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-003,射频收发子系统,系统包含射频收发子系统
REL-003,REL-003,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-004,波形与频率源子系统,系统包含波形与频率源子系统
REL-004,REL-004,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-005,数字采集与处理子系统,系统包含数字采集与处理子系统
REL-005,REL-005,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-006,任务规划与模式控制,系统包含任务规划与模式控制
REL-006,REL-006,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-007,平台接口与姿轨支撑,系统包含平台接口与姿轨支撑
REL-007,REL-007,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-008,数传与存储单元,系统包含数传与存储单元
REL-008,REL-008,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-009,标校与质量评估单元,系统包含标校与质量评估单元
REL-009,REL-009,contains,Association,CompositeAssociation,BLK-001,SAR雷达载荷系统,BLK-010,供电热控与健康管理,系统包含供电热控与健康管理
REL-010,REL-010,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-001,SAR雷达载荷系统,REQ-001,SAR总体任务目标,系统满足SAR总体任务目标
REL-011,REL-011,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-006,任务规划与模式控制,REQ-002,成像模式与任务覆盖,任务规划满足成像模式与覆盖需求
REL-012,REL-012,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-005,数字采集与处理子系统,REQ-003,分辨率与测绘带宽,数字处理满足分辨率与测绘带宽需求
REL-013,REL-013,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-002,雷达天线子系统,REQ-004,射频链路与天线性能,天线子系统满足射频性能需求
REL-014,REL-014,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-003,射频收发子系统,REQ-004,射频链路与天线性能,射频收发子系统满足射频链路需求
REL-015,REL-015,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-004,波形与频率源子系统,REQ-005,波形产生与时序控制,波形频率源满足时序控制需求
REL-016,REL-016,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-005,数字采集与处理子系统,REQ-006,回波采集与成像处理,数字处理子系统满足回波采集与成像处理需求
REL-017,REL-017,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-008,数传与存储单元,REQ-007,数据传输与产品分发,数传存储单元满足产品分发需求
REL-018,REL-018,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-010,供电热控与健康管理,REQ-008,功耗热控与可靠性,供电热控健康管理满足可靠性需求
REL-019,REL-019,satisfy,Dependency,SysML::Requirements::Satisfy,BLK-009,标校与质量评估单元,REQ-009,标校与质量评估,标校质量评估单元满足标校需求
REL-020,REL-020,satisfy,Dependency,SysML::Requirements::Satisfy,IF-006,MagicDraw Bridge接口,REQ-010,模型一致性与可追溯,Bridge接口满足模型一致性与可追溯需求
REL-021,REL-021,trace,Dependency,SysML::Requirements::Trace,REQ-001,SAR总体任务目标,UC-001,生成SAR总体方案,总体任务追踪到方案生成用例
REL-022,REL-022,trace,Dependency,SysML::Requirements::Trace,REQ-002,成像模式与任务覆盖,UC-002,执行成像任务规划,覆盖需求追踪到成像任务规划用例
REL-023,REL-023,trace,Dependency,SysML::Requirements::Trace,REQ-006,回波采集与成像处理,UC-003,完成回波采集与处理,采集处理需求追踪到回波处理用例
REL-024,REL-024,trace,Dependency,SysML::Requirements::Trace,REQ-009,标校与质量评估,UC-004,完成标校与质量评估,标校需求追踪到质量评估用例
REL-025,REL-025,trace,Dependency,SysML::Requirements::Trace,REQ-010,模型一致性与可追溯,UC-005,同步MagicDraw工程,模型一致性需求追踪到MagicDraw同步用例
REL-026,REL-026,trace,Dependency,SysML::Requirements::Trace,UC-001,生成SAR总体方案,ACT-001,需求理解与SAR建模流程,用例细化为SAR建模流程
REL-027,REL-027,trace,Dependency,SysML::Requirements::Trace,UC-002,执行成像任务规划,ACT-002,成像任务规划流程,用例细化为任务规划流程
REL-028,REL-028,trace,Dependency,SysML::Requirements::Trace,UC-003,完成回波采集与处理,ACT-003,收发与回波采集流程,用例细化为收发采集流程
REL-029,REL-029,trace,Dependency,SysML::Requirements::Trace,UC-003,完成回波采集与处理,ACT-004,成像处理与产品生成流程,用例细化为成像处理流程
REL-030,REL-030,trace,Dependency,SysML::Requirements::Trace,UC-004,完成标校与质量评估,ACT-005,标校质量闭环流程,用例细化为标校质量闭环流程
REL-031,REL-031,allocate,Dependency,SysML::Allocations::Allocate,IF-001,平台姿轨时间接口,BLK-007,平台接口与姿轨支撑,平台姿轨时间接口分配到平台接口与姿轨支撑
REL-032,REL-032,allocate,Dependency,SysML::Allocations::Allocate,IF-002,射频天线接口,BLK-002,雷达天线子系统,射频天线接口分配到天线子系统
REL-033,REL-033,allocate,Dependency,SysML::Allocations::Allocate,IF-002,射频天线接口,BLK-003,射频收发子系统,射频天线接口分配到射频收发子系统
REL-034,REL-034,allocate,Dependency,SysML::Allocations::Allocate,IF-003,高速采样数据接口,BLK-005,数字采集与处理子系统,高速采样数据接口分配到数字处理子系统
REL-035,REL-035,allocate,Dependency,SysML::Allocations::Allocate,IF-004,图像产品数传接口,BLK-008,数传与存储单元,图像产品数传接口分配到数传与存储单元
REL-036,REL-036,allocate,Dependency,SysML::Allocations::Allocate,IF-005,供电热控接口,BLK-010,供电热控与健康管理,供电热控接口分配到供电热控与健康管理
REL-037,REL-037,allocate,Dependency,SysML::Allocations::Allocate,IF-006,MagicDraw Bridge接口,BLK-001,SAR雷达载荷系统,Bridge接口分配到SAR SysML工程根模块
REL-038,REL-038,verify,Dependency,SysML::Requirements::Verify,CON-001,成像性能约束,REQ-003,分辨率与测绘带宽,成像性能约束验证分辨率与测绘带宽需求
REL-039,REL-039,verify,Dependency,SysML::Requirements::Verify,CON-002,射频链路约束,REQ-004,射频链路与天线性能,射频链路约束验证射频链路与天线性能需求
REL-040,REL-040,verify,Dependency,SysML::Requirements::Verify,CON-003,资源与热控约束,REQ-008,功耗热控与可靠性,资源与热控约束验证功耗热控可靠性需求
